feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
SRR549413	1100	82	0	1312	489	4543	296	435	375	318	0	326	26841	169	0	1806	0	4491	0	0	118	0	1111	0	0	0	957	206	0	2716	0	0	0	0	0	79	0	2092	0	1242	0	742	0	0	0	0	0	7260	0
SRR1803356	2483	1259	2490	5029	1868	0	9026	0	3233	4388	7197	2093	2487	0	3654	14119	178	7648	0	1803	1161	780	481	0	0	0	4019	0	0	15030	2684	768	0	0	0	0	74	9781	2406	391	0	26375	558	754	2375	6103	0	988	0
SRR539935	0	0	0	0	0	0	0	0	0	0	328	0	2238	0	0	759	0	2351	0	0	0	0	0	0	239	0	192	0	0	812	25942	0	0	0	0	0	0	4103	0	0	0	0	0	0	0	0	0	0	281
SRR1803297	4713	3384	0	5938	5945	807	384	900	100	1328	168	0	25802	1131	81	420	845	499	0	2019	698	133	2933	0	0	0	657	0	0	4996	1670	0	0	0	0	260	563	586	350	0	0	11012	0	337	220	0	0	0	161
SRR531396	0	22893	0	199	0	14286	0	0	0	67	0	0	9680	1955	2726	0	0	1028	0	0	0	0	192	0	0	0	2971	1048	0	10059	3788	0	0	0	0	0	0	0	0	83	0	144	0	0	0	0	0	18218	0
SRR1568878	0	959	0	133	876	28	5408	0	1138	4595	769	2299	22711	0	80	5502	0	480	0	0	0	202	0	462	0	0	0	0	0	22475	0	0	0	0	0	0	0	1258	4194	474	0	1802	0	394	930	919	0	11121	6960
SRR1803312	0	514	231	824	1143	14126	0	390	0	489	823	0	8633	22202	0	0	0	1577	0	750	526	225	0	0	0	0	9467	2744	0	1733	3700	0	0	0	0	0	0	4067	0	0	0	1276	0	0	38	487	0	0	0
SRR549637	561	1535	0	1318	621	0	2797	295	0	133	965	0	20862	0	0	814	0	745	0	190	0	803	0	133	0	0	1203	0	0	6226	8755	0	0	0	0	0	0	367	0	0	0	4083	0	0	0	441	0	12658	147
SRR1803905	553	553	0	2789	1121	0	0	815	0	0	12971	0	8801	0	0	0	0	4071	0	224	143	0	174	0	1120	0	6492	0	0	938	19936	0	0	0	1464	0	0	7344	0	0	72	4126	0	0	0	10091	0	0	1908
SRR1568828	1015	0	0	555	1010	0	3487	0	1840	0	2430	7410	18425	0	0	206	0	6070	0	373	0	167	0	0	0	0	0	0	821	6770	1073	225	0	0	0	0	0	3817	433	0	0	7364	0	0	0	0	0	3969	431
SRR1568915	0	0	0	66	0	1099	207	0	0	284	0	0	16400	796	0	748	0	0	0	0	0	0	0	0	0	0	119	0	0	251	0	0	0	0	0	435	0	0	0	9433	0	9238	0	0	0	0	0	0	0
SRR1803823	2755	8544	320	1211	5718	349	280	1106	1194	5190	7313	3205	15932	809	543	1612	0	1832	0	1348	107	1422	0	966	0	1446	1578	21	2270	14358	13919	0	1007	0	2071	0	0	11144	3665	0	446	2215	0	208	861	6159	0	564	5177
SRR1569226	1234	2239	0	1804	2489	1331	0	267	0	2422	129	30	12335	0	0	887	944	2964	0	756	243	0	1307	0	0	0	2535	243	0	1840	1741	0	0	0	0	0	25	89	0	0	0	15430	0	0	455	0	0	0	0
