feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
02-2020-26-OR	8271.90256241083	0	39330.2573878785	0	0	0	0	1453.98363725983	1657.85742987561	81446.7899415059	39540.4528484823	0	0	0	0	16569.091796774	0	0	0	0	0	0	0	86976.6690140844	2139.88461396719	82843.878566873	0	0	0	123.272525767681	0	766.502243555455	2348.49965757403	0	0	0	0	0	0	22.1258379583018	0	0	67.957930871927	0	0	0	0	0	0
01-2020-46-OR	5175.7505900244	0	0	0	6191.77553263889	101016.785765118	51793.365604101	0	0	41083.2673854823	13017.0725000845	19866.275936768	64200.8231386167	0	0	25137.6524037444	0	0	0	0	0	4817.15355145458	0	4303.16446283784	0	3753.31567036411	0	0	0	35142.5097798423	0	0	0	0	0	0	0	0	0	0	0	654822.098897729	0	0	0	0	0	0	0
GBM.BM.281.Or	14563.5497394428	30872.7235851115	30536.410683912	16052.9354447548	101154.112485779	41640.742011017	0	27353.4492975595	2262.10463306808	498.463764277834	2091.94631996119	0	0	13904.9369745937	0	0	4642.31915405742	32990.6941176655	0	7444.92666405328	9312.6643832148	138.128512992653	6898.41819960409	0	0	0	552.514051970612	0	0	3138.92041119536	4852.51471730711	2454.28343375351	0	0	0	0	1487.38384280494	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-55-OR	36135.6076129393	55787.892998405	6839.30385416556	3174.31975562227	52234.3261305686	13256.5078150759	0	0	0	2195.13370883227	18760.94753981	0	298.898147761935	5860.11780737556	0	0	0	6791.09447549428	0	6166.5151918197	1459.13719445073	6081.88094926345	0	337.465650698958	0	0	0	0	0	20172.9466751155	0	0	0	0	0	0	162.840567956323	0	0	0	0	0	3761.40285588585	0	0	0	0	0	0
01-2020-29-OR	7600.2642876851	0	0	1059.03804447159	271.239639012391	29401.2659898756	0	0	0	0	10494.1042588548	0	3020.66533139056	0	0	0	0	42107.871058422	0	0	0	0	0	399.916464345915	0	0	0	784.095475233773	0	1663.54140377224	14321.0826468317	0	141.637081122512	65.7270115012962	35784.1919659522	0	0	0	0	0	0	1961.62728691897	1619.10624106714	0	0	0	0	0	0
01-2020-20-OR	400987.668833193	5503.96924388228	0	10593.0664342056	95595.7405189538	14751.0063487632	0	0	57473.6084863688	18521.7323466658	15322.6078447778	19443.6702434636	2645.96176380941	0	0	0	0	44511.1616573931	0	0	3687.75158719081	35891.0423223346	0	0	0	0	0	0	14446.76684282	23703.0233266689	1429.00374003644	1908.41144637124	608.479011886484	2673.61990071334	0	0	4259.35308320539	0	0	0	0	0	35088.9563521206	18632.3648942816	0	0	0	21527.2498902264	0
02-2020-18-OR	0	897.668089822759	0	17170.1181848684	0	25260.4122798598	20844.5943873744	0	0	0	23629.4605619054	0	0	2792.92423637853	0	0	0	7879.17287458432	0	863.824230062834	0	0	0	95.0851298016926	215.956057515709	0	68253.3954615505	0	0	7057.25056612901	49524.8481153562	0	0	0	5485.92850584681	0	0	2362.62373371663	0	0	0	0	0	0	0	0	1637.39816743254	0	0
02-2020-28-OR	56409.9482011811	11678.2286773517	15001.7662762221	0	15882.6315104772	5289.70095451159	0	0	0	0	60516.644139722	0	0	0	0	0	0	0	0	0	0	1249.14506768944	0	0	20846.1417553756	0	0	0	0	978.572128839739	0	2176.60897474645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-09-OR	4699.27772573357	48095.43333303	0	517.65180516885	27337.4035101438	4926.35175179277	0	6136.77177205748	0	0	10379.9770895196	0	16736.1254630241	0	0	629.264462045405	0	67456.3805888062	0	2097.54820681802	917.917885002013	0	0	0	0	42.3358353669691	2736.43444962864	1858.92804384055	0	5053.35925789368	0	0	0	0	0	0	0	577.306845913216	0	0	0	0	0	0	0	0	0	0	0
02-2020-47-OR	52714.1414718343	8625.95042266379	0	5234.55111118914	0	0	62488.1121583202	0	0	0	169906.99904568	0	306868.976208464	0	9721.30920649411	0	0	13112.7085179688	0	0	14755.7466937143	1263.87551980422	0	4265.57987933924	25161.6551401023	0	3896.94951939634	0	0	44193.5140091542	48553.8845524787	0	0	0	0	0	0	368535.569278912	2306.5728236427	0	0	42676.8633853891	0	0	0	8815.53175063442	0	0	0
