"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.3962","SNAPC2","Glioma","High - Low",0.333803288799018,0.538545007259743,0.627623635209715
"High...Low.3963","SNAPC4","Glioma","High - Low",0.59498453407409,0.0214484531977745,0.0522290263015191
"High...Low.3964","SNCG","Glioma","High - Low",-0.0901956596132094,0.9112732567918,0.936447341424566
"High...Low.3965","FSCN1","Glioma","High - Low",0.0533525930658294,0.867543923127943,0.90327768204813
"High...Low.3966","SNRPA1","Glioma","High - Low",0.424037353958361,0.0106662604978058,0.0322326367316567
"High...Low.3967","SNRPC","Glioma","High - Low",0.957031332453631,0.000423086143380818,0.00442836927372376
"High...Low.3968","SNRPF","Glioma","High - Low",1.29797363718183,1.95723078290726e-07,8.2670902810928e-05
"High...Low.3969","SNTA1","Glioma","High - Low",-0.00773850944938426,0.985724264480698,0.991022229661414
"High...Low.3970","SNX2","Glioma","High - Low",0.5732187200131,0.0110344697884838,0.0329080564319369
"High...Low.3971","SOAT1","Glioma","High - Low",0.790578277086707,0.115118882963967,0.185861230199267
"High...Low.3972","SOD3","Glioma","High - Low",-0.289209272891324,0.572203252010562,0.657313798400757
"High...Low.3973","SORD","Glioma","High - Low",0.66163035599089,0.13122386283609,0.206024611507885
"High...Low.3974","SORL1","Glioma","High - Low",0.0432250128743049,0.879811492414181,0.912639759302169
"High...Low.3975","SOX11","Glioma","High - Low",1.5808781073596,0.0301005957550521,0.067105762632808
"High...Low.3976","SP1","Glioma","High - Low",0.732025288934818,7.69754289503578e-07,0.000186651160495553
"High...Low.3977","SP2","Glioma","High - Low",0.885434329903563,0.0209547615323235,0.0514112136976286
"High...Low.3978","SP3","Glioma","High - Low",0.751429582174662,0.000375155859363219,0.00413114726533966
"High...Low.3979","SP4","Glioma","High - Low",1.51683188753303,0.00903338323373132,0.0288639040071832
"High...Low.3980","SP100","Glioma","High - Low",1.09068008356119,0.1718661558401,0.25405457716982
"High...Low.3981","UAP1","Glioma","High - Low",0.406072974996684,0.318379681366629,0.414358766306992
"High...Low.3982","SPI1","Glioma","High - Low",0.377329185265969,0.459698000698989,0.554057954818903
"High...Low.3983","SPN","Glioma","High - Low",0.817127719693163,0.0896715230707183,0.153014276632547
"High...Low.3984","SPR","Glioma","High - Low",0.7325688208016,0.128194393205411,0.202116482195262
"High...Low.3985","SPTAN1","Glioma","High - Low",0.342954953047418,0.179812513938261,0.263275080845426
"High...Low.3986","SQLE","Glioma","High - Low",1.06575442120854,0.0638993281191748,0.118011249493211
"High...Low.3987","SRI","Glioma","High - Low",1.08222197441509,0.00150346379715347,0.00917401193985508
"High...Low.3988","SRF","Glioma","High - Low",0.616211979663948,0.0105273316046756,0.0319977725289097
"High...Low.3989","SRM","Glioma","High - Low",1.27726269415466,0.00270836957825737,0.0132474378997766
"High...Low.3990","SRPK1","Glioma","High - Low",0.636712925665009,0.00857058520714669,0.0278677036757832
"High...Low.3991","TRIM21","Glioma","High - Low",0.667596045534383,0.024639598005984,0.057893636868681
"High...Low.3992","SSB","Glioma","High - Low",0.858850846604762,0.00954363936247163,0.0299966853299543
"High...Low.3993","SSBP1","Glioma","High - Low",1.09721321891852,0.000105927789441229,0.00212082335618265
"High...Low.3994","SSRP1","Glioma","High - Low",1.2428806343206,8.45837126065334e-05,0.00184694777557742
"High...Low.3995","STAT3","Glioma","High - Low",0.902900450226057,0.000694250996009484,0.00588733120350121
"High...Low.3996","STAT4","Glioma","High - Low",-1.70469968039242,0.00340102796465657,0.0152667330028156
"High...Low.3997","STAT6","Glioma","High - Low",-0.561851352673281,0.270880440425562,0.364570715071674
"High...Low.3998","STIM1","Glioma","High - Low",1.25695299066724,0.00497748402304982,0.0194089266818983
"High...Low.3999","NEK4","Glioma","High - Low",0.762788153165279,0.0390267308149808,0.0810364753078589
"High...Low.4000","RPS6KB1","Glioma","High - Low",0.910207093678527,0.00670445834558762,0.0235989724669689
"High...Low.4001","STRN","Glioma","High - Low",0.655607722751672,0.0711738919631493,0.128085615910593
"High...Low.4002","STXBP1","Glioma","High - Low",0.184514460574958,0.678330025310453,0.749097862141778
"High...Low.4003","SUPT6H","Glioma","High - Low",0.667299883278967,2.55603267420484e-05,0.00107907500745991
"High...Low.4004","SUPV3L1","Glioma","High - Low",0.910164106330007,0.0625841290414478,0.116282893314533
"High...Low.4005","SURF1","Glioma","High - Low",1.16821373405231,0.0113827998744201,0.0335765671447753
"High...Low.4006","SUV39H1","Glioma","High - Low",0.594964444764864,0.219433990392915,0.308290629850303
"High...Low.4007","SYK","Glioma","High - Low",-0.44930120355011,0.279725086512868,0.374038019751403
"High...Low.4008","SYN2","Glioma","High - Low",-0.679480287261521,0.427608939350867,0.522988179699258
"High...Low.4009","SYP","Glioma","High - Low",0.351836697614054,0.658235437331881,0.731906828840324
"High...Low.4010","SYT5","Glioma","High - Low",-0.898047957768434,0.0206429053756364,0.0508461630904032
"High...Low.4011","ADAM17","Glioma","High - Low",0.58525848113974,0.0704162272524218,0.127086286850019
"High...Low.4012","TAF2","Glioma","High - Low",0.831358617947655,0.000114501714989112,0.00219836577135987
"High...Low.4013","TAF4","Glioma","High - Low",2.93571739895106,1.38238802260273e-06,0.000238170904841581
"High...Low.4014","TAL1","Glioma","High - Low",-0.544323382448235,0.080761795550482,0.141074566560567
"High...Low.4015","TAPBP","Glioma","High - Low",1.11407848947969,1.00969797919246e-05,0.000656916546673864
"High...Low.4016","TBCC","Glioma","High - Low",1.53082441176145,0.00829473416521091,0.0272961169035616
"High...Low.4017","TBCE","Glioma","High - Low",1.72550196954258,0.0023645608413441,0.0120954764060929
"High...Low.4018","TCEA2","Glioma","High - Low",0.901791185580059,0.00472454928882157,0.018712416330257
"High...Low.4019","TCEA3","Glioma","High - Low",-0.328022721736323,0.378414502069869,0.475074118789243
"High...Low.4020","ELOA","Glioma","High - Low",1.17426391603244,2.83620054396996e-05,0.00111641885482695
"High...Low.4021","TCF3","Glioma","High - Low",1.37335184357687,0.00317304878642819,0.0145475843170486
"High...Low.4022","TFAM","Glioma","High - Low",1.28514634886221,0.00335543325307978,0.0151190788079238
"High...Low.4023","NFE2L1","Glioma","High - Low",0.127948432065408,0.443787703761833,0.538649999356455
"High...Low.4024","TCF12","Glioma","High - Low",1.72586635521016,5.15841132592832e-05,0.00145620719117725
"High...Low.4025","TDG","Glioma","High - Low",0.768176713004235,0.00765925870173975,0.0259349194312336
"High...Low.4026","TDGF1","Glioma","High - Low",0.0653101736354199,0.779680172249102,0.83394596777081
"High...Low.4027","TMBIM6","Glioma","High - Low",0.617364264909749,0.0162529331716642,0.0429150850876732
"High...Low.4028","TERF1","Glioma","High - Low",1.87375794048222,0.000131428118576414,0.00238834806292109
"High...Low.4029","TFAP2A","Glioma","High - Low",0.58374813799951,0.35402476856,0.451241148595798
"High...Low.4030","TFRC","Glioma","High - Low",1.33376705931755,0.002077002149293,0.01116431286652
"High...Low.4031","TG","Glioma","High - Low",-0.722579549798976,0.181482358925862,0.26518580602335
