feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1466	X1468	X2016	X2043	X2532	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X19351	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X5273	X6936	X6956	X6952	X6939	X5868	X14348	X969	X17008	X17130	X15888	X15878	X17167	X17151	X15892	X16971	X16988	X16987
02-2020-49-OR	895.767420190493	12483.2175345813	0	39159.0069468596	58685.093097067	133707.669050452	0	113795.334563099	567.045431129761	30587.581082101	0	4955.48398509052	0	41649.0760139946	0	0	10954.6602854489	1857.27923819313	29847.9566067144	6599.09393039418	6648.40222875329	1060.12841472086	0	38402.9463720199	11406.6530204074	0	0	0	0	20273.9286753206	0	0	5473.22111786117	0	1282.01575733685	1199.83526007167	0	2917.40765291399	0	41838.0911577046	7042.86861562617	246451.093248557	65169.13433129	5202.02547688607	5686.89041075065	0	1627.17384585062	501.301033317615	8168.74142815917	133987.082741154	50179.4116301206	12655.7965788381	6311.46218996604	79830.1350433986	273546.003196887	28607.0310980101
01.2020.030.Or	0	4531.08179316663	43.5272618368866	109850.06918991	0	2751.24144025101	1960.31924345881	36104.8020531648	0	3407.33528940213	0	2813.34741140852	0	0	1339.25953188372	14688.8584091503	28177.0013759221	12128.7122647685	6914.99560913562	4593.18776432414	61687.6847876617	19286.8235558712	44248.1157585267	405931.52814894	14558.8074439059	0	1572.28962879095	2165.74668651826	33275.5300337672	951.760737482166	0	157484.287427187	0	250.016345428946	3271.44530122844	0	0	0	2927.47376866377	11300.1018290688	24509.5641560313	167192.990097878	71892.7044073464	5453.1165957358	0	327.516104309256	105.633232994395	16.9862485217118	2198.12672276277	11147.2255923734	11288.4237832101	0	1445.42358514442	123195.952325313	420603.400309568	19162.6116135561
01.2020.090.Or	4209.6158326543	3417.31034890656	508.684817871226	87836.2845285146	3919.22332503635	15460.6723767777	0	118.865739743754	1735.82221014538	110.420854748554	920.333127024025	0	491.396704248977	118.228389932795	84.0505063201477	2352.61748970044	4703.24326124163	5717.98382901388	8375.01552217335	2172.72550555741	6882.97961471958	711.601063935127	38544.765511156	25855.2104436994	1425.59218966135	283.142653518299	1504.54389749383	101651.080687218	4515.06572955614	944.233744934967	467.575755064405	4596.88551153794	15121.2836024423	4890.9427805689	4265.06526620769	2541.9103835551	10492.5306003565	7084.38215498246	1267.68877399639	57513.0129038173	1032.66603120545	183279.498388271	107627.509864576	1782.42841507172	303.617516195339	5171.93437847521	4019.68558898868	7235.91207253784	21245.0202548577	13126.6973690478	52906.8061512941	2045.49454954483	3332.46315532271	233021.464384525	18634.5150978982	41549.4715261934
01.2020.108.Or.ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115409.419066958	0	0	0	0	0	0	0	0	0	0	0	85208.8234232681	0	0	0	0	0	0	0	0	0	0	0	0	14021.7051202846	0	0
01.2020.64.Or	1514.4157967289	6836.3952165018	471.323283675832	39818.5389585995	0	0	7520.7522091927	0	0	0	8816.0633881004	0	0	0	260.497177862989	55139.3051820668	175646.844983727	18780.0804413597	0	22001.525414212	15816.9250431682	3973.6857640117	1260358.74930762	384508.735847387	4661.35416150595	0	0	2499.55872572347	5185.65992203527	0	0	27154.0712882138	1712.54818412893	10057.8401893541	0	0	226842.818945813	3064.70514549402	0	825.643597633542	0	16196.6327939516	233956.268364194	387.986262791698	0	28.1469408284162	333.899984337094	0	6419.71011208112	86811.2364236417	0	926.089543334949	4587.95135503184	1560.77546397571	111370.822048436	31042.2124281392
GBM.BM.259.Or	0	0	28203.6693343937	75757.6857563317	0	0	0	0	0	0	19815.1181658039	0	0	0	0	0	8694.61992744372	0	0	510.114598089918	0	0	0	0	0	2777.29058960067	0	0	0	6302.74925639988	0	0	0	0	0	0	0	0	0	0	2357.86303117118	272.06111898129	0	0	0	0	0	0	6518.1309755934	8524.58172808041	0	0	0	0	6676.83329499915	0
GBM.BM.265.Or	0	0	0	24462.6010278911	0	0	12427.7872691897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457.27676806045	0	0	0	0	0	0	0	966.059879950185	0	39804.9418332017	0	0	0	0	0	4093.47406758553	0	0	0	0	174594.855930658	544661.28553666	0
GBM.BM.279.Or	709.094260620664	0	0	80031.6282690094	0	70.1707862072532	0	0	0	0	9480.44253652732	0	0	0	0	299.149141199343	23377.9514048375	0	0	0	64077.0074050444	10599.4819165693	55324.1251255081	13598.3597271109	3094.90099166727	0	0	0	3903.71163268772	1861.37243412924	712.78745989473	2707.11506789035	0	0	0	0	0	0	0	0	0	0	30852.986735547	0	0	0	0	0	0	111486.606486229	0	0	0	21956.0696843221	26332.5108240903	2721.88786498661
GBM.BM.281.Or	0	10911.576735611	0	64748.5487370063	135762.79896004	121611.56975154	0	10057.1628966072	0	0	0	0	0	0	0	0	0	0	0	0	13955.426037062	0	185131.898594978	61820.401309587	2216.13589491609	0	0	71370.2559892857	614.109946783977	0	0	2456.43978713591	33099.6361172407	0	6612.80710812312	0	0	863.313983160084	5767.29341327561	41403.4706150589	0	449724.28421731	9300.65064332256	32761.4306393017	0	19696.0190178687	0	20639.4342984354	0	21573.9494348458	30669.8967625737	0	0	137258.023178297	146674.375695651	0
GBM.BM.282.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6512.90489950766	2668.51965343236	693.42819267941	2573.60402461748	0	144.489396730932	2362.00867375628	27379.2292851483	34367.3168868757	287.769677171228	0	0	2277.3705334118	0	0	0	0	0	0	0	0	19157.8430669728	0	0	0	0	0	37104.7561688743	0	0	0	0	0	0	5142.97614221773	0	0	0	398.403817764369	4668.39799814333	51.3874423520051
GBM.BM.284.Or	1572.11557676044	419.843731025693	1339.20956538853	67945.7319885851	0	0	570.006817304956	6176.60613052763	0	360.084951792109	0	10805.6131065445	830.493803707759	3542.62301507811	881.058924597714	49481.8014817982	14129.1205977661	353.95584622969	3665.20512632649	11846.0287757651	298.793896167921	10770.3707495606	0	384731.617534986	7212.42497057642	1561.38964202621	0	508.715761680767	3553.34894981235	23690.5252751396	66684.6685191174	29689.3873443571	0	1371.38736959123	979.124613596416	18874.5805794689	0	0	0	809.041934239292	9605.84069270099	10336.7365310194	119984.902766303	668.072506303658	0	0	16726.3290798411	0	2290.75320395406	401951.339612602	0	4443.60153275369	2367.36702348429	14222.589457593	115178.151728976	0
GBM.BM.291.Or	0	0	0	0	0	0	0	0	0	0	12476.3153196702	0	0	0	0	0	1672.37125189724	0	0	0	0	0	15799.2957081641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.5866719409186	0	0	0	0	0	0	0	0	0	0	427.199785138107	3022.56857945445	6237.68457037202
GBM.BM.295.Or	0	0	0	30379.3902215949	20893.2650447265	0	0	0	0	2020.1382560562	0	0	0	0	0	1744.5747451712	2620.82706035947	28648.692775533	0	218.071843146401	51835.6771158994	0	239256.531472423	423878.136351467	3820.22219766467	0	0	67360.4098766218	1474.9586481902	1116.1313426493	0	55562.7231624015	0	3485.18454773975	8665.38205811743	0	0	249.791383967695	0	3964.94260266183	12600.5875912593	100354.679744672	223137.057321301	0	584.82903389262	0	0	5638.14838098512	96925.0043933697	67261.2863115553	7606.74238320672	0	1792.15405640315	154085.599424644	61631.0678157755	11645.0364240178
GBM.BM.305.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	7045.19650464056	0	0	0	0	0	0	49.1405042541009	0	12551.519323429	4567.48055330222	0	0	0	0	0	23124.4867650482	0	0	0	0	0	0	0	0	0	0	0	0	157.766882078955	0	0	0	0	0	0	4404.54098656493	0	0	0	0	0	1748.36741451432
GBM.BM.308.Or	19857.548641027	0	0	1623.69509268832	0	92.0901694360541	0	0	3824.16545710772	45293.8228094698	0	0	2849.94840149473	50421.7911917511	0	4090.74226336998	9979.6662562545	0	0	0	15723.1847184505	0	0	0	0	6392.99649927134	0	0	7376.90725693023	1340372.41614177	2011.44317452434	2525.20938295706	0	0	6746.8166239467	78780.7165270328	0	0	0	0	76216.7323358922	0	14511.471962713	0	0	0	0	0	6533.55517893689	47746.3294270826	0	0	1139.0099903933	42889.7847020865	297257.373237537	49253.7000952201
