feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1411	X1468	X2016	X2043	X2048	X2524	X2492	X2502	X2497	X2483	X2479	X9712	X9649	X9418	X13165	X9422	X9467	X9450	X9447	X19351	X19300	X5989	X6001	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8031	X8028	X8071	X8059	X8249	X8255	X8235	X8236	X7285	X7298	X4303	X4482	X4494	X5266	X5265	X5273	X4498	X3934	X3922	X6936	X6956	X6952	X6939	X5868	X19882	X19831	X19850	X14348	X969	X17008	X17007	X16955	X17130	X15888	X15878	X15873	X15877	X17167	X17153	X17151	X17137	X15892	X15494	X16971	X16988	X16987
GBM-BM-396-Or	0	0	0	3548	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	14906	16369	0	11522	0	23814	0	0	0	0	0	0	0	0	286	112341	0	9588	0	0	0	0	0	0	0	5975	0	5497	0	0	0	0	0	0	0	0	0	0	0	203	0	614	0	233	0	0	0	0	0	0	10219	0	0	561	0	0	0	0	0	0	0	0	9113	27312	37424
GBM-BM-444-Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	419	0	1457	0	0	274	3804	369	46	112254	0	42136	0	0	0	0	0	0	0	0	61	74064	0	0	0	0	0	0	1230	0	24	5079	2859	1359	0	0	0	0	0	0	0	0	0	0	0	1272	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	0	0
GBM-BM-294-Or	4251	2368	1251	3984	14583	0	16154	18016	3896	9058	15578	1493	0	85	4409	1179	1012	40409	2947	9683	2735	13848	8064	0	920	0	920	0	3403	0	155	42	0	1124	0	1078	3232	0	7322	976	3952	0	5584	4674	0	1952	199	5936	0	0	0	0	0	0	0	2646	172	0	0	0	676	0	2758	32079	0	3431	1640	0	2949	706	1157	6326	847	0	1480	6411	0	15445	26	0	4837	699	0	2566	2173	11441	0
01-2020-032-OR	0	332	0	0	0	0	13452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105441	0	848	5486	10103	79948	0	16689	17367	0	0	0	0	0	0	0	1142	0	0	0	0	0	0	0	0	38709	0	3505	78771	3823	0	0	0	0	3367	0	0	0	0	0	6615	0	0	3523	731	2627	1139	0	1939	3437	13921	0
GBM-BM-436-Or-PreOp	7099	10866	0	0	8010	14401	27037	3165	2946	0	0	8211	7576	0	0	0	0	0	0	0	0	424	40355	4870	0	0	4203	0	0	0	921	0	0	5919	0	95041	794	6053	46996	1737	1250	0	2380	61078	0	1089	879	0	0	173	0	0	0	0	0	157	0	0	0	311	29332	0	23600	97052	3971	0	0	131	0	845	0	0	0	1234	0	71151	0	0	0	6670	0	527	0	1429	29418	90717	0
GBM-BM-312-Or	0	0	0	132	1457	0	0	0	97	0	1138	882	0	0	2031	1607	0	39	0	0	0	0	13315	43826	322	8432	0	346	792	0	79	0	1144	10323	325	1742	3049	94854	3523	797	2359	4567	336	0	2818	0	0	0	0	4339	199	1258	0	125	0	1924	0	0	0	0	0	4207	0	5125	0	179	0	0	801	0	0	1055	2420	0	0	366	0	33	0	0	0	0	253	0	8775	0	0
GBM-BM-Kit-275-Or	534	273	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2453	0	25919	0	60777	31694	11270	85974	6448	302	8223	0	2781	0	0	0	3663	247	447	0	0	0	0	0	0	0	0	608	0	0	62904	0	0	266	0	0	0	0	636	0	0	0	7490	0	0	0	2792	1608	0	0	0	5975	349	0
GBM-BM-460-Or-PreOp	4617	2237	307	216	67454	17287	2988	6192	0	2833	0	745	23061	188	209	45	0	854	0	0	0	0	8107	0	0	0	569	1841	0	917	936	116	0	6506	0	52166	10019	8137	28559	20231	27221	1388	0	22298	0	2204	4462	0	0	311	4903	0	377	0	126	197	631	123	1123	1958	9864	0	32784	30200	754	601	0	0	1741	4982	0	2524	0	2040	325	84044	1729	9581	25789	2066	611	2340	638	1094	47598	26093	1156
GBM-BM-430-Or	470	304	0	0	29590	0	1468	0	0	0	2328	820	0	0	0	0	1001	454	0	0	0	0	55173	0	171	0	445	19769	0	0	0	0	845	8997	572	76805	18131	82901	27523	16006	5171	620	9825	10452	0	0	2238	0	0	1441	5650	0	0	0	0	0	0	0	0	0	1664	3529	36353	40903	0	0	0	0	0	0	1672	317	0	0	0	16588	0	0	734	725	2328	387	0	0	32499	28401	191
GBM-BM-310-Or	857	1019	0	0	65232	0	6973	209	3937	340	0	0	484	0	0	0	0	0	0	2008	1391	1998	0	0	0	0	0	0	0	0	80	0	0	329	0	2778	0	0	0	0	0	0	2659	43575	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	10611	0	33192	5963	1452	0	0	0	0	2059	0	0	5108	0	0	143	0	0	0	0	0	4602	0	0	47657	19903	0
GBM-BM-299-Or	0	0	698	0	7411	0	0	0	0	139	0	0	0	0	0	0	112	780	1093	5684	2263	413	13510	0	88	12010	5202	81945	3721	0	223	202	0	0	0	1844	20349	0	0	9769	0	0	0	606	0	18	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	2893	0	5626	14279	0	365	0	0	1968	0	0	412	0	0	4107	4288	0	1039	922	0	0	0	0	0	30461	15325	12635
01-2020-116-Or	1742	0	0	0	13167	0	0	0	0	0	0	0	0	0	0	0	2165	2530	571	0	0	0	4494	0	0	0	0	0	32536	0	0	0	0	0	0	0	15953	15500	0	190	0	0	0	0	0	0	2527	0	0	0	0	0	2462	0	0	0	0	0	0	0	0	0	1143	25224	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	63695	23707	0
01-2020-138-Or	1674	260	1003	0	16775	0	15587	187	1453	1101	0	485	1312	421	2234	0	532	1422	0	0	0	0	27790	1060	1535	28664	0	0	3090	0	192	0	2798	8086	667	10903	9755	24987	53972	14003	0	499	0	16939	369	2957	843	0	0	24634	2720	0	0	0	0	0	3353	579	0	648	11419	4713	14807	33532	1691	1730	1503	875	0	1005	1003	2173	0	20668	316	9351	1775	14123	0	0	9263	71	0	242	17279	18254	2142
01-2020-087-or	3063	0	31	234	9275	0	0	3206	0	4342	0	2051	0	87	2561	2580	1492	8902	88	0	0	209	1908	25657	434	2090	0	8422	6217	0	0	284	0	50562	4260	0	0	21462	4700	843	11524	0	1388	0	1942	2068	0	6698	1329	674	0	4392	0	0	0	0	0	0	0	0	0	3898	0	16112	127	690	413	0	1297	0	0	0	1883	0	0	1115	0	2517	0	0	31	0	0	0	0	588	4125
GBM-BM-459-Or-PreOp	0	1177	0	0	25698	1809	6107	0	0	7346	0	0	1161	0	0	0	0	0	0	0	0	0	1212	0	0	0	0	0	0	0	0	0	0	7270	0	29951	1666	6043	22866	1440	8674	451	700	44319	0	2451	2410	0	0	0	515	413	0	0	0	0	0	0	0	0	10438	0	14818	24880	1400	0	0	67	0	1617	0	175	0	5945	0	6562	0	827	0	368	0	1412	0	0	52466	35365	0
GBM-BM-356-Or	0	0	0	0	965	462	0	0	0	0	0	0	0	0	0	49	0	341	0	290	912	226	4354	0	0	39183	0	20123	1656	0	0	0	0	0	0	709	119	0	0	1682	0	0	0	994	642	0	0	2761	372	0	0	0	0	0	0	0	0	0	0	0	376	276	3251	559	0	0	0	0	91	0	0	0	0	0	0	159	0	0	99	0	0	0	0	0	10029	0	0
01-2020-117-Or	0	0	0	0	8403	0	0	0	0	0	0	0	0	0	0	0	838	0	9243	231	0	65	30364	4987	0	8918	0	0	0	0	0	0	0	0	0	9308	0	82	12159	13278	0	0	0	9871	0	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	1307	3319	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1769	0	34781	38003	0
GBM-BM-316-Or	0	447	0	0	34460	0	4319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022	0	0	791	0	0	0	0	186	0	0	0	0	0	1511	20873	0	0	0	0	0	11882	0	0	3091	0	0	0	0	0	707	0	0	0	0	0	0	0	7218	0	10216	17389	0	0	0	0	0	0	0	0	6311	0	0	0	0	0	0	0	0	0	0	114	26432	0	0
GBM-BM-346-Or	0	0	0	297	34011	435	1586	888	1981	0	4837	35	0	11	0	0	112	0	654	450	0	573	6240	0	0	3653	0	0	2397	0	440	0	0	0	0	1794	0	900	0	0	0	0	0	24	0	0	1655	0	0	0	0	0	405	1416	2238	0	718	0	268	0	0	3930	2482	1520	0	0	0	0	0	0	0	0	20164	0	0	1076	0	0	0	2987	0	0	591	0	5261	7624	0
GBM-BM-339-Or	0	1292	0	0	0	17859	4312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7002	0	0	0	0	0	6066	0	0	0	0	0	0	10722	2831	4309	0	0	0	0	0	392	0	0	2298	0	0	0	0	0	157	0	0	444	0	0	0	588	2147	0	30007	0	615	0	0	0	0	169	0	0	566	8588	0	0	0	0	0	10267	0	103	0	0	33175	0	0
GBM-BM-428-Or	1650	10136	3927	122	9978	0	20249	11809	0	1904	0	1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	0	720	0	1511	3017	0	0	41	1495	23	0	0	0	0	0	0	0	276	0	0	0	2614	0	0	0	0	8350	0	0	27384	2813	0	275	0	310	4364	0	1259	229	0	0	17383	0	0	0	0	6211	88	0	15539	0	4499	0
GBM-BM-272-Or	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7692	0	0	0	0	0	0	0	0	0	3508	0	0	0	9657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3012	0	0	0	0	0	0	0	0	0	0	0	807	1771	244
