contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.008363663,0.215825548,Inf,1,0.038913565,0.968959301,1.008363663,0.091021898,0.090266935,tumor16SProximity_v3,ACTN1,577,0.073617694,6330,26,0.067484663,326,0.999992957,0.012016036,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.741403111,0.129025763,Inf,1,-1.719314086,0.085557196,0.741403111,0.104008086,0.140285473,tumor16SProximity_v3,ACTN4,640,0.0835703,6330,40,0.113496933,326,0.659236849,-0.431669927,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.806047662,0.242668399,Inf,1,-0.716178435,0.473881177,0.806047662,0.036723808,0.045560343,tumor16SProximity_v3,ACTR10,220,0.032385466,6330,13,0.036809816,326,0.89513829,-0.311062947,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.276360295,0.328513537,Inf,1,0.948051881,0.343103043,1.276360295,0.07068634,0.05538118,tumor16SProximity_v3,ACTR1A,432,0.062559242,6330,16,0.049079755,326,0.850466325,0.352035635,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.723301036,0.096674695,Inf,1,-2.423578785,0.015368419,0.723301036,0.17263819,0.238680966,tumor16SProximity_v3,ACTR1B,1071,0.131121643,6330,68,0.159509202,326,0.464618096,-0.467331877,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.899255548,0.172024892,Inf,1,-0.555095088,0.578829622,0.899255548,0.09829772,0.109310107,tumor16SProximity_v3,ACTR2,617,0.078988942,6330,32,0.088957055,326,0.925588392,-0.15319694,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.193015737,0.28359259,Inf,1,0.742433322,0.457824837,1.193015737,0.078537268,0.065830873,tumor16SProximity_v3,ACTR3,484,0.066034755,6330,19,0.052147239,326,0.886076829,0.254613074,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.300639685,0.601178829,Inf,1,0.568684724,0.569570116,1.300639685,0.022361768,0.0171929,tumor16SProximity_v3,ACTR3B,135,0.020537125,6330,5,0.015337423,326,0.919110721,0.379221349,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.169848136,0.284896742,Inf,1,0.644158608,0.519472589,1.169848136,0.077158228,0.065955764,tumor16SProximity_v3,ACVR1,471,0.064454976,6330,19,0.055214724,326,0.905218998,0.226321258,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.884433015,0.256663297,Inf,1,-0.423184354,0.672160761,0.884433015,0.042703389,0.048283351,tumor16SProximity_v3,ACVR1B,258,0.036650869,6330,14,0.039877301,326,0.947682753,-0.177175214,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.830764543,0.253793713,Inf,1,-0.606914608,0.543907583,0.830764543,0.03729482,0.044892166,tumor16SProximity_v3,ACVR1C,221,0.03206951,6330,13,0.036809816,326,0.912218307,-0.267488451,NS or |log2FC| < 1
