Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
PKM,0.425651363,0.181815245,0.167545717,0.144038481,0.316621253,0.095027304,0.345501588,0.121948323,0.143046,0.21575477,0.191972812,0.234960152,0.172547897,0.391248412,0.093657964,0.725511089,0.185337332,0.349765583,0.533612219,0.399495047,0.81451572,1
COL1A1,0.078820147,0.075834731,0.054658821,0.021386488,0.038618814,0.026798991,1,0.0094213,0.030825311,0.145703392,0.012397954,0.060728807,0.04429165,0.014947653,0.018908594,0.003664081,0.008949455,0.003661387,0.02811039,0.010928713,0.01138045,0.003662021
COL3A1,0.107597589,0.046473115,0.081879978,0.101101058,0.053144252,0.125950104,1,0.029117523,0.087334618,0.177446003,0.034752482,0.12410261,0.094172675,0.011912796,0.104217153,0.005631678,0.007600356,0.006310077,0.025036065,0.009114941,0.00901767,0.003305834
COL1A2,0.075346423,0.070505509,0.073382865,0.042239567,0.046340751,0.07245629,1,0.017765275,0.038330647,0.259011361,0.048386303,0.084160529,0.032997014,0.014150753,0.037145736,0.01206307,0.010121851,0.026240421,0.030487798,0.008875357,0.00780225,0.006305139
SFRP2,0.066426734,0.069744752,0.108099975,0.090937276,0.058596045,0,1,0.025494958,0.059496402,0.078452397,0.084401806,0,0.203026458,0.048266612,0.070613221,0.015963626,0.048828828,0.034421494,0.040574249,0.029505063,0.032174732,0.017951358
MGP,0.143024807,0.167448873,0.123466117,0.099181565,0.0811084,0.075680146,1,0.019949052,0.061902237,0.312251243,0.044351459,0.014663449,0.058554088,0.035404727,0.017380345,0.012020189,0.016662534,0.009410601,0.025010914,0.008780099,0.014052265,0.009394363
PTGDS,0.199104863,0.033055811,0.066837364,0.014321121,0.040409708,0.007715632,0.113041035,0.023829907,0.032296514,0.025329787,0.033737847,0.063792434,0.021368893,0.004848461,0.010240007,1,0.015491391,0.007426718,0.012624096,0.006757851,0.018321962,0.045367588
BCAT1,0.05589933,0.053578094,0.044623431,0.012047719,0.082606514,0.02281991,0.06378074,0.136203295,0.07385853,0.058315641,0.081534791,0,0.102214448,0.014721152,0.086506633,1,0.038339025,0.015614484,0.034755026,0.02433818,0.03450803,0.040021524
IFITM1,0.047183544,0.043831314,0.009343576,0.057266706,0.07569017,0.017220457,0.107557079,0.040227225,0.05321378,0.193734885,0.188862657,0.189691385,0.059804568,0.028348353,0.022488796,1,0.019860971,0.007056571,0.011268054,0.005572962,0.020023584,0.209172277
IFI6,0.086400344,0.036121045,0.021500273,0.023629446,0.161119988,0.003302403,0.078356925,0.018635765,0.023186844,0.119526551,0.068876737,0.042587909,0.036127048,0.014299164,0.006886646,1,0.0085894,0.051804975,0.00678958,0.003752821,0.077139625,0.161752741
