contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16Spos_tumor / 16Sneg_tumor,0.908287954,0.963968557,11,164,1588,39686,RPIA
16Spos_tumor / 16Sneg_tumor,0.995760924,0.999226397,55,164,6143,39686,RPN1
16Spos_tumor / 16Sneg_tumor,0.779613834,0.961697705,63,164,9140,39686,RPN2
16Spos_tumor / 16Sneg_tumor,0.059423892,1.325241587,69,164,4445,39686,RPTOR
16Spos_tumor / 16Sneg_tumor,0.709412515,0.871569536,10,164,1482,39686,RRAD
16Spos_tumor / 16Sneg_tumor,0.563475237,0.857642938,15,164,1743,39686,RRAGA
16Spos_tumor / 16Sneg_tumor,0.362985128,0.761039431,13,164,1857,39686,RRAGC
16Spos_tumor / 16Sneg_tumor,0.197549371,0.396135416,2,164,739,39686,RRAS
16Spos_tumor / 16Sneg_tumor,0.453843979,0.808124994,15,164,1952,39686,RRAS2
16Spos_tumor / 16Sneg_tumor,0.9626541,1.006369908,67,164,9226,39686,RRBP1
16Spos_tumor / 16Sneg_tumor,0.727241647,0.912031798,21,164,2490,39686,RRM2
16Spos_tumor / 16Sneg_tumor,0.224334898,0.419086026,2,164,657,39686,RRM2B
16Spos_tumor / 16Sneg_tumor,0.809220753,0.928171004,12,164,1601,39686,RSF1
16Spos_tumor / 16Sneg_tumor,0.365608396,1.292337389,16,164,1258,39686,RSPO1
16Spos_tumor / 16Sneg_tumor,0.476682429,0.651049044,3,164,611,39686,RSPO2
16Spos_tumor / 16Sneg_tumor,0.491742219,0.662374451,3,164,559,39686,RSPO3
16Spos_tumor / 16Sneg_tumor,0.518260735,0.728114049,5,164,833,39686,RTN1
16Spos_tumor / 16Sneg_tumor,0.242461182,0.633690973,7,164,1412,39686,RTN3
16Spos_tumor / 16Sneg_tumor,0.106218172,1.248831787,70,164,7692,39686,RTN4
16Spos_tumor / 16Sneg_tumor,0.698800515,1.132051499,12,164,1355,39686,RTN4R
16Spos_tumor / 16Sneg_tumor,0.325079569,1.498337173,8,164,645,39686,RTN4RL1
16Spos_tumor / 16Sneg_tumor,0.553060713,1.175827912,15,164,1591,39686,RUBCN
16Spos_tumor / 16Sneg_tumor,0.070529103,0.53128791,9,164,1988,39686,RUFY1
16Spos_tumor / 16Sneg_tumor,0.366150122,1.16605882,51,164,4929,39686,RUNX1
16Spos_tumor / 16Sneg_tumor,0.677496279,0.845547966,7,164,989,39686,RUNX1T1
16Spos_tumor / 16Sneg_tumor,0.138140409,1.423906424,25,164,2169,39686,RUNX3
16Spos_tumor / 16Sneg_tumor,0.498522179,0.722562799,5,164,760,39686,RUSC2
16Spos_tumor / 16Sneg_tumor,0.434518823,1.224916675,16,164,1557,39686,RUVBL1
16Spos_tumor / 16Sneg_tumor,0.404411847,1.177791971,30,164,3458,39686,RUVBL2
16Spos_tumor / 16Sneg_tumor,0.832142681,0.95548547,25,164,3371,39686,RWDD1
16Spos_tumor / 16Sneg_tumor,0.976015507,1.014707587,5,164,604,39686,RXFP4
16Spos_tumor / 16Sneg_tumor,0.492484235,1.184233384,20,164,2575,39686,RXRA
16Spos_tumor / 16Sneg_tumor,0.249601364,1.262448358,28,164,2423,39686,RXRB
16Spos_tumor / 16Sneg_tumor,0.792465372,1.118689478,6,164,701,39686,RXRG
16Spos_tumor / 16Sneg_tumor,0.603905084,1.215552981,8,164,832,39686,RYBP
16Spos_tumor / 16Sneg_tumor,0.121962466,1.484607136,18,164,1566,39686,RYK
16Spos_tumor / 16Sneg_tumor,0.25538402,0.554449239,4,164,884,39686,RYR2
16Spos_tumor / 16Sneg_tumor,0.326157197,0.37019779,1,164,352,39686,RYR3
16Spos_tumor / 16Sneg_tumor,0.676895781,0.86368037,10,164,1159,39686,S100A1
16Spos_tumor / 16Sneg_tumor,0.690095636,0.944768577,84,164,11504,39686,S100A10
16Spos_tumor / 16Sneg_tumor,0.330482998,1.430131436,10,164,929,39686,S100A12
16Spos_tumor / 16Sneg_tumor,0.764180263,0.967175317,194,164,26958,39686,S100A14
16Spos_tumor / 16Sneg_tumor,0.451146245,0.918165673,117,164,16268,39686,S100A16
16Spos_tumor / 16Sneg_tumor,0.708363622,1.142116895,11,164,1387,39686,S100A2
