SampleID,Sample_ID,FileVersion,SoftwareVersion,Date,Plate_ID,Well,SeqSetId,Raw,Trimmed,Stitched,Aligned,umiQ30,rtsQ30,DeduplicatedReads,roi
DSP-1001660022407-Y-D10,DSP-1001660022407-Y-D10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D10,A00728:1032:HNTG7DMXY,64126106,64074144,63681800,60532772,0.9946,0.9944,4663323,45
DSP-1001660022407-Y-D11,DSP-1001660022407-Y-D11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D11,A00728:1032:HNTG7DMXY,5925943,5918986,5883046,5576881,0.9945,0.9938,591937,46
DSP-1001660022407-Y-D12,DSP-1001660022407-Y-D12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,D12,A00728:1032:HNTG7DMXY,8141463,8130462,8080027,7688732,0.9945,0.9941,807028,47
DSP-1001660022407-Y-E01,DSP-1001660022407-Y-E01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E01,A00728:1032:HNTG7DMXY,10004960,9989311,9930186,9457479,0.9941,0.9935,663484,48
DSP-1001660022407-Y-E02,DSP-1001660022407-Y-E02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E02,A00728:1032:HNTG7DMXY,10294979,10277511,10211170,9587170,0.9944,0.994,792357,49
DSP-1001660022407-Y-E03,DSP-1001660022407-Y-E03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E03,A00728:1032:HNTG7DMXY,6859266,6845885,6803859,6400778,0.9945,0.9932,613628,50
DSP-1001660022407-Y-E04,DSP-1001660022407-Y-E04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E04,A00728:1032:HNTG7DMXY,2808160,2803564,2786321,2633247,0.9936,0.9923,399766,51
DSP-1001660022407-Y-E05,DSP-1001660022407-Y-E05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E05,A00728:1032:HNTG7DMXY,6244570,6236283,6206085,5872217,0.9946,0.9941,505565,52
DSP-1001660022407-Y-E06,DSP-1001660022407-Y-E06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E06,A00728:1032:HNTG7DMXY,12169126,12152763,12066862,11473759,0.9943,0.9935,1073597,53
DSP-1001660022407-Y-E07,DSP-1001660022407-Y-E07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E07,A00728:1032:HNTG7DMXY,37619823,37580980,37336431,35122700,0.9945,0.994,2306315,54
DSP-1001660022407-Y-E08,DSP-1001660022407-Y-E08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E08,A00728:1032:HNTG7DMXY,32102773,32068479,31863521,30002948,0.9945,0.994,2177135,55
DSP-1001660022407-Y-E09,DSP-1001660022407-Y-E09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E09,A00728:1032:HNTG7DMXY,41820320,41785490,41535538,38979681,0.9949,0.9944,2765782,56
DSP-1001660022407-Y-E10,DSP-1001660022407-Y-E10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E10,A00728:1032:HNTG7DMXY,39343315,39306684,39061287,36868318,0.9945,0.9944,3615225,57
DSP-1001660022407-Y-E11,DSP-1001660022407-Y-E11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E11,A00728:1032:HNTG7DMXY,27283266,27257683,27091765,25512499,0.9944,0.9941,1873630,58
DSP-1001660022407-Y-E12,DSP-1001660022407-Y-E12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,E12,A00728:1032:HNTG7DMXY,21160446,21119476,20967461,19476877,0.9944,0.9943,1913599,59
DSP-1001660022407-Y-F01,DSP-1001660022407-Y-F01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F01,A00728:1032:HNTG7DMXY,9465321,9447178,9384583,8683922,0.9939,0.9938,791774,60
DSP-1001660022407-Y-F02,DSP-1001660022407-Y-F02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F02,A00728:1032:HNTG7DMXY,26696227,26666588,26490143,24997257,0.9945,0.9937,1959532,61
DSP-1001660022407-Y-F03,DSP-1001660022407-Y-F03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F03,A00728:1032:HNTG7DMXY,19562692,19546034,19419362,18296279,0.9948,0.9944,1306877,62
DSP-1001660022407-Y-F04,DSP-1001660022407-Y-F04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F04,A00728:1032:HNTG7DMXY,25266908,25242431,25091906,23690530,0.9943,0.9937,1807843,63
DSP-1001660022407-Y-F05,DSP-1001660022407-Y-F05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F05,A00728:1032:HNTG7DMXY,19833425,19822614,19706293,18667931,0.9943,0.9944,1012080,64
DSP-1001660022407-Y-F06,DSP-1001660022407-Y-F06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F06,A00728:1032:HNTG7DMXY,35861314,35826799,35604277,33651841,0.9943,0.9939,2169796,65
DSP-1001660022407-Y-F07,DSP-1001660022407-Y-F07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F07,A00728:1032:HNTG7DMXY,12490875,12480360,12407112,11685154,0.9945,0.9941,833244,66
DSP-1001660022407-Y-F08,DSP-1001660022407-Y-F08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F08,A00728:1032:HNTG7DMXY,38982034,38952520,38706132,36680583,0.9946,0.9945,2367194,67
DSP-1001660022407-Y-F09,DSP-1001660022407-Y-F09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F09,A00728:1032:HNTG7DMXY,13120874,13107808,13029247,12353018,0.9944,0.994,1144672,68
DSP-1001660022407-Y-F10,DSP-1001660022407-Y-F10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F10,A00728:1032:HNTG7DMXY,43254294,43210361,42932815,40484408,0.9944,0.9936,2964949,69
DSP-1001660022407-Y-F11,DSP-1001660022407-Y-F11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F11,A00728:1032:HNTG7DMXY,20954978,20935714,20805600,19733740,0.9946,0.9943,1608656,70
DSP-1001660022407-Y-F12,DSP-1001660022407-Y-F12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,F12,A00728:1032:HNTG7DMXY,23132162,23108511,22956414,21809780,0.9942,0.9937,2070813,71
DSP-1001660022407-Y-G01,DSP-1001660022407-Y-G01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G01,A00728:1032:HNTG7DMXY,60204834,60132081,59752064,55959660,0.9943,0.9941,3753767,72
DSP-1001660022407-Y-G03,DSP-1001660022407-Y-G03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G03,A00728:1032:HNTG7DMXY,27552604,27527488,27352408,25863968,0.9944,0.9941,1933244,74
DSP-1001660022407-Y-G04,DSP-1001660022407-Y-G04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G04,A00728:1032:HNTG7DMXY,12480884,12456646,12381691,11596304,0.9941,0.9935,1087309,75
