Species,log2fc,qval,groupings,sample_type,method
Bifidobacterium longum,4.997357663869174,0.06427592680299032,MDACC,Stool,AncomBC
Escherichia coli,6.658239408640279,5.658058470908425e-7,MDACC,Stool,AncomBC
Clostridia bacterium,2.5482258643631583,0.00456084905625675,MDACC,Stool,AncomBC
Eggerthella lenta,7.635076227390069,1.7089592968875745e-15,MDACC,Stool,AncomBC
Fusicatenibacter saccharivorans,3.454160149241768,0.00344664353219414,MDACC,Stool,AncomBC
Ruthenibacterium lactatiformans,3.5924809131472366,3.701483922552459e-5,MDACC,Stool,AncomBC
Blautia massiliensis,3.4091995669009068,0.04389267074714927,MDACC,Stool,AncomBC
Streptococcus parasanguinis,4.078796801505716,0.00765335774842335,MDACC,Stool,AncomBC
Flavonifractor plautii,4.196299275947931,0.03539398569673315,MDACC,Stool,AncomBC
Blautia faecis,4.892477785292179,7.616257355997853e-11,MDACC,Stool,AncomBC
LKT p  Firmicutes,2.677132328559365,0.00219146323077415,MDACC,Stool,AncomBC
Bilophila wadsworthia,4.496025051060698,3.009922194577159e-5,MDACC,Stool,AncomBC
LKT f  Lachnospiraceae,3.216247746046789,0.09299629479043242,MDACC,Stool,AncomBC
Clostridium phoceensis,3.197804740050371,0.01036896599080866,MDACC,Stool,AncomBC
Lachnospiraceae bacterium,2.6902898853764428,2.121109017677015e-4,MDACC,Stool,AncomBC
Clostridium leptum,3.948123629331281,1.983166410519715e-9,MDACC,Stool,AncomBC
Evtepia gabavorous,3.713306003000703,0.06657866834407072,MDACC,Stool,AncomBC
Intestinimonas butyriciproducens,3.1038046691571317,0.1451816472987335,MDACC,Stool,AncomBC
Adlercreutzia equolifaciens,3.708557352038457,0.00199870956070665,MDACC,Stool,AncomBC
Clostridium fessum,3.0681957415395487,0.04346204117793442,MDACC,Stool,AncomBC
Christensenellaceae bacterium,3.3727953850268424,2.2735603402207168e-4,MDACC,Stool,AncomBC
LKT f  Clostridiaceae,3.4657242894371585,0.02905302608073551,MDACC,Stool,AncomBC
Faecalicatena fissicatena,-2.2364017296026044,0.242393236281209,HMP,Stool,AncomBC
Bacteroides xylanisolvens,-2.7830185390059605,2.635010158832702e-4,HMP,Stool,AncomBC2
Bifidobacterium longum,2.8334608964144934,2.3136257267303146e-7,MDACC,Stool,AncomBC2
Bacteroides ovatus,-2.254010280882948,1.9421492773036931e-4,HMP,Stool,AncomBC2
Phocaeicola massiliensis,-2.509326468776025,9.643205762761782e-5,HMP,Stool,AncomBC2
Bacteroides fragilis,-2.3384022468809307,0.01299569959394766,HMP,Stool,AncomBC2
Lacrimispora celerecrescens,2.193666212160212,0.00122299304527386,MDACC,Stool,AncomBC2
Anaerobutyricum hallii,2.237846509474459,1.002568805331448e-5,MDACC,Stool,AncomBC2
Clostridium sp AF34 10BH,-2.572877368520665,1.378964881896244e-6,HMP,Stool,AncomBC2
Barnesiella intestinihominis,-2.3627538786266804,7.813321712968891e-5,HMP,Stool,AncomBC2
Clostridium sp AF36 4,-2.9635730657986517,5.75280470829956e-8,HMP,Stool,AncomBC2
Lachnospira pectinoschiza,-2.8274792938097915,6.560938718780643e-7,HMP,Stool,AncomBC2
Eubacterium ventriosum,-2.2462221981752903,5.0250102698164014e-5,HMP,Stool,AncomBC2
Roseburia inulinivorans,-2.0884508487590083,1.797702168401991e-4,HMP,Stool,AncomBC2
Parasutterella SGB9260,-2.1199541855677397,1.4362421311473532e-4,HMP,Stool,AncomBC2
Coprococcus eutactus,-2.809576024966852,5.313383338482926e-8,HMP,Stool,AncomBC2
Prevotella histicola,2.186316716771786,0,MDACC,Saliva,Maaslin2
Actinomyces SGB17168,2.1065685165105434,0,MDACC,Saliva,Maaslin2
Actinomyces sp ICM58,2.817362767150955,0,MDACC,Saliva,Maaslin2
Streptococcus infantis,-397.27021815439457,0,HMP,Saliva,Maaslin2
Streptococcus sp A12,2.3369394811697446,0,MDACC,Saliva,Maaslin2
Actinomyces SGB17154,2.64159768238858,0,MDACC,Saliva,Maaslin2
Actinomyces massiliensis,7.293407557506733,0,MDACC,Saliva,Maaslin2
Neisseria sp oral taxon 014,2.465235345449682,0,MDACC,Saliva,Maaslin2
Lachnoanaerobaculum sp ICM7,2.7006765417695977,0,MDACC,Saliva,Maaslin2
Prevotella scopos,2.3087783330854066,0,MDACC,Saliva,Maaslin2
Campylobacter showae,3.3287142275754222,0,MDACC,Saliva,Maaslin2
LKT f  Propionibacteriaceae,2.3075962818284887,0,MDACC,Saliva,Maaslin2
Kingella oralis,3.7863940497793074,0,MDACC,Saliva,Maaslin2
Capnocytophaga sp oral taxon 332,2.1538169969617997,0,MDACC,Saliva,Maaslin2
Pseudopropionibacterium propionicum,5.750407224069333,0,MDACC,Saliva,Maaslin2
Cardiobacterium hominis,2.8432128910537533,0,MDACC,Saliva,Maaslin2
Arachnia SGB15899,6.574668936051554,0,MDACC,Saliva,Maaslin2
Actinomyces johnsonii,2.8150301553989543,0,MDACC,Saliva,Maaslin2
Prevotella pleuritidis,-2.1170129594858746,0,HMP,Saliva,Maaslin2
Eikenella corrodens,2.9246028820679646,0,MDACC,Saliva,Maaslin2
Peptostreptococcus stomatis,2.2969336671463383,0,MDACC,Saliva,Maaslin2
Alloprevotella rava,-2.079728672928765,0,HMP,Saliva,Maaslin2
Selenomonas artemidis,2.7319132400975334,0,MDACC,Saliva,Maaslin2
Prevotella baroniae,-4.040974621572773,0,HMP,Saliva,Maaslin2
Cardiobacterium valvarum,2.3522682398521746,0,MDACC,Saliva,Maaslin2
Shuttleworthia satelles,3.397509915084442,0,MDACC,Saliva,Maaslin2
Dialister pneumosintes,-2.6384727116065734,0,HMP,Saliva,Maaslin2
TM7 phylum sp oral taxon 351,-6.0355860153600025,0,HMP,Saliva,Maaslin2
Lachnoanaerobaculum saburreum,10.463083788791373,1.67936693260843e-104,MDACC,Saliva,Maaslin2
Lancefieldella parvula,7.658983092314288,1.89815042079984e-9,MDACC,Saliva,Maaslin2
Actinomyces naeslundii,8.693665077694297,4.26145514476995e-8,MDACC,Saliva,Maaslin2
Rothia mucilaginosa,3.9890403088166866,7.49810649817861e-6,MDACC,Saliva,Maaslin2
Actinomyces dentalis,5.4402088413659,0.00311363402252203,MDACC,Saliva,Maaslin2
Actinomyces graevenitzii,3.240959967840755,0.0075764469877053,MDACC,Saliva,Maaslin2
Prevotella oulorum,3.352085751311987,0.0194802814041022,MDACC,Saliva,Maaslin2
Tannerella sp oral taxon HOT 286,3.772532942081879,0.0233273361667898,MDACC,Saliva,Maaslin2
Lancefieldella rimae,3.3687365556812794,0.0395145189425859,MDACC,Saliva,Maaslin2
Kytococcus sedentarius,4.891719140477214,0.0409144386306809,MDACC,Saliva,Maaslin2
Abiotrophia sp HMSC24B09,4.221041555645379,0.0422691380250749,MDACC,Saliva,Maaslin2
LKT f  Candidatus Saccharibacteria unclassified,-4.1081621748491335,0.0616692519097098,HMP,Saliva,Maaslin2
Capnocytophaga granulosa,4.450478643725356,0.0761209927049585,MDACC,Saliva,Maaslin2
Candidatus Saccharibacteria bacterium oral taxon 488,6.033541841461227,0.106304464262048,MDACC,Saliva,Maaslin2
Prevotella denticola,3.416275613775782,0.106586737421382,MDACC,Saliva,Maaslin2
Granulicatella adiacens,2.967649580756988,0.106918360191751,MDACC,Saliva,Maaslin2
Candidatus Nanosynsacchari sp TM7 ANC 38 39 G1 1,-2.603713132685634,0.115352609792642,HMP,Saliva,Maaslin2
Lautropia mirabilis,2.621931083117242,0.12087751773078,MDACC,Saliva,Maaslin2
Alloscardovia omnicolens,6.4265133355382815,0.148029173553532,MDACC,Saliva,Maaslin2
Trueperella pyogenes,2.311949211333883,0.159781718099454,MDACC,Saliva,Maaslin2
Rothia mucilaginosa,4.528489823797043,3.230086898174111e-4,MDACC,Saliva,AncomBC
