feature	X1525	X1522	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2016	X2043	X2492	X2502	X2497	X2483	X2479	X9712	X9418	X13165	X9467	X9450	X9447	X8007	X8095	X8163	X8130	X8047	X8071	X8249	X8255	X8235	X8236	X4482	X6936	X6956	X6952	X6939	X5868	X969	X17130	X15888	X15878	X17167	X15892	X16971	X16988	X16987
01-2020-50-OR	0	3333.63270397529	841.688678034672	127745.740425975	90765.9924882482	66173.8756036333	4430.55568021029	34828.7657605273	30996.3545806796	5679.45022331266	1815.86538872295	8785.12557698689	7809.00051287724	8204.51625741668	2678.98595439276	5034.54524083702	0	17899.5228821864	10867.9153844384	2084.73816087291	6677.00717505746	22010.548601291	0	0	5981.44500362603	134.436386074982	26519.0384183563	0	0	0	0	2869.92458968767	0	0	7150.45705645196	8888.38830831985	8323.36581612065	124439.384669899	45047.8794556473	4605.90748813418	742.322653544468	6295.12990446765	0	31752.3157081737	21223.4138190548	851.430445141555	26357.325084382	37182.3766935502	0
01-2020-52-OR	9674.88667693978	0	0	0	0	0	78327.5854190634	0	0	0	0	24716.4571343702	0	0	0	0	0	0	0	0	48634.4111456915	0	0	0	16471.4481428898	0	0	0	1782.70464680656	0	0	0	0	0	0	0	0	0	72013.8397949568	0	0	0	0	0	0	0	0	24252.2111325976	9136.36131488364
01-2020-56-OR	20765.2111900745	3519.85451533027	1840.36268991674	20391.9907844271	0	70815.3545543137	10713.9995759139	0	0	0	0	0	0	61060.145330839	0	6717.96730165411	67919.6789932559	43325.7412280049	15507.9513381096	0	2361.58429090714	117583.732282687	1003.83419450004	0	37502.2159329887	11556.9629059107	0	6216.05020440409	91136.5621583594	0	14967.4252333788	1473.57711884942	0	0	0	0	0	62462.939269307	759175.348928976	0	2168.53925350329	0	0	258577.392767882	0	0	2200.71342640393	336393.847345376	0
01-2020-58-OR	219.17137873579	16489.9171043476	4391.82494554859	299830.644795977	0	0	2556.15968150094	27821.3293061129	2969.31032647415	11564.8591109169	14500.5799540599	375.362476225664	36746.0550272009	2913.88767897775	0	0	467.733555386341	3526.89574977134	11197.0542684407	0	10306.0932230818	7310.75104702601	77989.7418724436	2016.20873695261	784.314435782483	0	767.519694116905	1717.26233530533	2746.77999940525	10858.6402238793	299.786138730564	11148.3495176105	1023.63950451697	2548.60204775143	10306.0932230818	242525.306758859	197741.288370513	0	2705.63288232458	9567.12458979639	25109.8182642054	67720.597081026	0	2001.93320653687	54157.1637119054	0	134462.900460032	5496.07921006033	7813.75355991007
02-2020-49-OR	1266.5337892777	17650.1360175489	0	55367.2798707178	82975.3925617619	189050.502307781	0	160896.269542461	801.750747340929	43248.0620522165	7006.60435719681	0	58888.0114133888	0	15488.8948725429	2626.02418694275	42202.3002078587	9330.51956688066	9400.23702317118	1498.92531024608	0	54298.2788742632	16127.9715552059	0	0	0	28665.4941114503	0	0	7738.63764824723	0	1812.6538635534	1696.45810306921	0	4124.94949718884	59155.2616625024	9957.9766734953	348459.466116045	92143.2380639647	7355.19163864939	0	708.794138953575	11549.8585921287	189445.567893428	70949.131351648	8923.83440518599	112872.561734345	386769.208347683	40447.7442245474
01.2020.030.Or	0	3795.94746044997	36.4652872255035	92027.712190178	0	2304.87297182664	1642.27202102176	30247.0663563057	0	2854.5204719574	2356.90271091669	0	0	12305.7003427333	23605.4923963924	10160.9188757991	5793.08898398334	3847.97719954002	51679.3165737831	16157.6798298957	37069.1879578478	340072.155774673	12196.7491796815	0	1814.37038878115	27876.822686648	797.344634089363	0	131933.632674995	0	209.453052234294	2740.67762403388	0	0	0	9466.74432264047	20533.0695983314	140067.170520781	60228.6476336648	4568.38897155607	274.379051440679	14.2303559904404	1841.49700488793	9338.6711187265	9456.96095289704	1210.91435506154	103208.325012417	352363.625761416	16053.6203517156
01.2020.090.Or	3874.47954491289	3145.25115160192	468.187359606897	80843.4548984239	3607.20578989846	14229.816034461	0	109.402590529912	1597.62978717542	101.63002042524	0	452.275588732238	108.815981465409	2165.32070934873	4328.8082653709	5262.76322219361	7708.26308597586	1999.75030089261	6335.01126597304	654.949020518215	35476.1364155821	23796.8232674494	1312.09782502832	260.601076905703	93558.4263499376	4155.61193907622	869.061329062012	430.351074946418	4230.91787773186	13917.4467076129	4501.56463486719	3925.5145335247	2339.54360150629	9657.19837665584	6520.37973035616	52934.2821104054	950.453336761879	168688.235633964	99059.0595477874	1640.52557501724	4760.1859061802	6659.84603544188	19553.6599254961	12081.653640249	48694.7850751051	3067.15881988988	214470.140073143	17150.9825234226	38241.631524051
01.2020.108.Or.ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29478.2732096789	0	0	0	0	0	0	0	0	0	0	21764.3325566788	0	0	0	0	0	0	0	0	0	3581.47244603575	0	0
01.2020.141.Or	0	0	0	4353.49075198817	0	0	0	0	0	0	0	0	0	4159.67095823528	5978.5951765317	0	0	0	0	0	0	78526.8348997319	0	0	0	0	863437.362739353	0	0	0	0	0	159006.776951897	0	0	0	0	3518.5747173603	96552.0757187514	0	0	0	0	0	0	0	0	8289.52348666241	0
01.2020.64.Or	538.479863637438	2430.81270804553	167.588120825937	14158.2526245313	0	0	2674.14908957265	0	0	0	0	0	0	19605.847746461	62454.6371871442	6677.62128274589	0	7823.06842707961	5624.01399853693	1412.92092499619	448144.960536823	136719.5271561	1657.43474062748	0	888.766509626077	1843.86180712003	0	0	9655.15589315801	608.929670869887	3576.25985237925	0	0	80658.3571545639	1089.71526340331	293.573569971431	0	5759.02644248101	83187.6818493244	137.956029204489	10.0081898853897	0	2282.65224993829	30867.4162357328	0	1631.33495131852	554.963941095727	39600.0525082787	11037.6597704633
GBM.BM.257.Or	0	0	0	6342.58228853485	0	0	0	0	0	1735.3393848876	0	0	48400.9994570885	0	0	0	0	3492.85563092391	33553.5909180183	0	540050.922693709	4479.7259520421	38346.5650337861	2298.07723653645	0	0	17289.6353730734	0	27488.2193938425	0	0	0	0	12979.0079872903	0	0	42072.2777067716	0	120065.526259188	0	0	0	0	0	0	0	3218.41697420846	11992.1376661721	1119.93148801053
GBM.BM.259.Or	0	0	44403.0626585426	119270.766779357	0	0	0	0	0	0	0	0	0	0	13688.5647343658	0	0	803.110056123158	0	0	0	0	0	4372.48808333719	0	0	9922.87091565502	0	0	0	0	0	0	0	0	0	3712.1531483026	428.325363265684	0	0	0	0	10261.9618282403	13420.8613823248	0	0	0	10511.8182901453	0
GBM.BM.260.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429.53046605225	0	0	0	0	63266.4906588518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160.29009011517	2973.24335592012
GBM.BM.265.Or	0	0	0	32226.2681297573	0	0	16371.9795920253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919.77099300429	0	0	0	0	0	0	1272.65717513767	0	52437.7897077912	0	0	0	5392.61514888844	0	0	0	230005.82133039	717519.8012505	0
GBM.BM.270.Or	0	11188.5835995074	0	19582.6601160246	0	138569.552353144	0	0	0	2754.92482969003	0	0	0	0	0	0	0	0	16859.4010889747	0	0	0	0	0	42075.9352580531	0	2293.13187452168	0	25092.5097754046	46873.3043580306	0	4441.12882027616	0	0	0	5198.46926675225	0	32631.6096206387	34866.6875236535	0	0	0	0	44247.6815557877	0	0	218383.207907555	32093.2909757568	0
GBM.BM.279.Or	962.540249662951	0	0	108636.704219772	0	95.2513788728962	0	0	0	0	0	0	0	406.071667826557	31733.7488560754	0	0	0	86979.5486023552	14387.9714402743	75098.1923955782	18458.7145794739	4201.08713134142	0	0	5298.98460361323	2526.66815536525	967.553480129946	3674.697932307	0	0	0	0	0	0	0	0	0	41880.5273212724	0	0	0	0	151334.388107164	0	0	29803.6551262825	35744.333229671	3694.75085417497
GBM.BM.281.Or	0	5988.92431720614	0	35537.8665641719	74514.7239271309	66747.6850491882	0	5519.97102646243	0	0	0	0	0	0	0	0	0	0	7659.57041548061	0	101611.431257916	33930.7245573523	1216.3475978665	0	39172.2545674356	337.060177722042	0	0	1348.24071088817	18167.0550862069	0	3629.50307315185	0	0	473.838220855625	22724.6948806223	0	246835.518554997	5104.75196694977	17981.4277419542	10810.3503376649	11328.1529295278	0	11841.0705912787	16833.4691656545	0	75335.3921859324	80503.6482443371	0
GBM.BM.282.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	17010.0298770897	6969.48592569145	1811.05581258906	6721.59075343645	0	377.369083878626	6168.9582038234	71507.4940196453	89758.5787081517	751.580267473749	0	5947.90518397818	0	0	0	0	0	0	0	0	50035.3510419656	0	0	0	0	96908.0649500029	0	0	0	0	13432.1288558806	0	0	1040.52814341429	12192.6529946057	134.210762048884
GBM.BM.284.Or	3221.88327997233	860.424969505281	2744.56723849495	139247.534389681	0	0	1168.16820677359	12658.2958104956	0	737.955722020953	22144.9521348585	1702.00851632067	7260.22820984018	101407.677154139	28956.1264372562	725.394773561022	7511.4471790388	24277.1731359319	612.346237421642	22072.7266812139	0	788466.436015451	14781.0961002239	3199.90162016745	1042.55872217428	7282.20986964506	48551.2060347487	136663.11924405	60845.2343399063	0	2810.51221790959	2006.61151647399	38681.4407823579	0	0	1658.04519671091	19686.146473827	21184.0395776738	245896.267288726	1369.14338213249	0	0	4694.65448689925	823756.420713627	0	4851.66634264839	29147.6809012701	236045.343459025	0
GBM.BM.288.Or	0	0	0	97939.694593626	66610.7495466532	0	0	0	0	0	0	0	6750.2676807777	0	5817.79827142102	0	0	0	2549.08757014353	0	55628.8951440667	0	0	0	4799.17679706943	0	66514.4619446001	0	0	0	0	5549.20653937806	47545.8043401324	11731.8841448952	4915.73547323901	0	13845.143621535	37937.3152089353	88680.8814909377	0	0	0	0	0	243.252889397395	0	176353.277044582	20630.8856820165	5746.84951201345
GBM.BM.291.Or	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8852.95148981571	0	0	0	0	0	83635.9739614952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410.716844223416	0	0	0	0	0	0	0	2261.44701423015	16000.4263277037	33020.1316529618
GBM.BM.295.Or	0	0	0	20969.5288689996	14421.6826383703	0	0	0	0	1394.41072288636	0	0	0	1204.20160563297	1809.03923028044	19774.906139775	0	150.525200704121	35779.8402073696	0	165148.039747069	292584.043074093	2636.9278341531	0	46495.8660865875	1018.09772112606	770.415345422002	0	38352.4527284946	0	2405.66638943495	5981.32411161558	0	0	172.419775351993	2736.82183098402	8697.61977886722	69270.3289531211	154021.490593203	0	0	3891.76064365928	66902.9780693199	46427.4455408129	5250.59268274284	1237.04346760478	106358.369995701	42541.1585408156	8038.04571760007
GBM.BM.305.Or	0	0	0	0	0	0	0	0	0	0	0	0	23701.0816513554	0	0	0	0	0	165.315914601965	0	42225.164924386	15365.6792203721	0	0	0	0	77794.1890766404	0	0	0	0	0	0	0	0	0	0	0	530.751094248413	0	0	0	0	14817.5264509024	0	0	0	0	5881.76622478569
GBM.BM.308.Or	7764.18801207312	0	0	634.855500132901	0	36.0067298582839	0	0	1495.22683464137	17709.6258171402	0	1114.31353456163	19714.632142933	1599.45684212588	3901.99246201087	0	0	0	6147.67535054069	0	0	0	0	2499.62508858297	0	2884.32857075306	524077.953087323	786.462783746728	987.342434535049	0	0	2637.96673488059	30802.8098482393	0	0	0	29800.3066853429	0	5673.90258924748	0	0	0	2554.58272889299	18668.5418859976	0	445.346395615617	16769.6606587344	116225.93380045	19257.9152010464
