feature	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1564	X1561	X1536	X1468	X2043	X2048	X2524	X2492	X2502	X2497	X2479	X9712	X13165	X9434	X9467	X9450	X9447	X19351	X19300	X6001	X8007	X8095	X8163	X8130	X8047	X8053	X8071	X8059	X8249	X8255	X8235	X7285	X7298	X4303	X4482	X4494	X5265	X5273	X3934	X749	X6936	X6956	X6952	X6939	X5868	X969	X17007	X17130	X15888	X15878	X15874	X15877	X17153	X17137	X15892	X16971	X16988	X16987
02-2020-53-OR	9527.15569269862	15808.0478681185	3475.83353397024	6298.82733297394	928994.529888907	0	68.1535987052988	42545.7807496605	2367.44079713143	10675.0057761563	0	4842.49253958702	30923.7986546517	16572.08557992	1366.65900561678	160924.994669254	79707.4272016024	11733.1800718438	15915.6588134427	108274.546153655	90160.0370240888	3135.06554044375	149719.108229498	227607.910455123	46089.7678823361	2991.58428001154	0	3138.65257195455	12149.2757270972	0	0	33563.8538466043	642.078640434131	5348.26398261056	466.314096404676	0	10212.2787112624	26321.6372262886	12020.1425927082	0	0	16805.2426281224	20582.3868090003	20453.2536746113	0	12439.8252794724	444.791907339845	17476.017520643	9089.53784838039	111581.789206617	67489.9978757999	256745.367417393	4046.17154418827	1097.63164230639	0	0	5649.57462951819	0	0	1409.70338374644	0	0	2898.3214607306	11256.1048809067	62995.447392761	0
02-2020-08-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.4917170895088	5375.14380181583	506.804413147856	154.587801607361	0	0	21829.8181616267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.471458040708	0	0	0	0	0	0	0	0	0	0	0	0	46.3625009296919	0	0	0	0	0	0	0	0	0	0	0	0	460.857098793654	2141.67075190144
02-2020-26-OR	2120.48483962724	11968.6426182987	0	0	113908.46078105	466890.913648665	17348.1276476887	0	16109.9922044164	3458.24037603638	0	0	281811.012042273	33657.3600383787	7784.59870655103	1426801.6682316	38225.6528807972	0	974682.991250945	8311.16205598866	0	447436.532603225	0	1700486.52696228	0	9435.4459642474	0	0	0	0	0	0	0	0	0	0	0	1878.55032772347	31337.6350124778	0	0	0	0	0	0	0	0	0	0	0	0	477678.346591198	0	0	0	0	0	0	0	0	0	0	0	0	498.100465684252	0
02-2020-18-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1943.02132464586	0	915.212124684602	0	45454.5731578372	73237.1797062281	0	6631.67902334552	0	0	0	0	0	55894.343009129	0	1235.68072354893	7015.66392108386	283981.3722657	0	6337.19436492966	0	0	0	1830.4242493692	0	0	0	0	0	0	0	0	0	0	43785.8267601472	571.646689866092	56711.3935810083	0	0	0	0	13889.8597219483	145541.824660806	0	0	0	0	1743.81111454101	5534.57931552171	18988.4862588348	0
02-2020-13-OR	0	0	0	0	3580.86004218755	0	0	0	0	0	5795.33927880354	0	0	0	0	5488.53364483398	0	167.647364276223	0	80255.9709088082	393.368652125254	0	608.132595903945	0	0	0	0	0	0	6758.48982258654	4374.17175288027	0	57640.0127476236	0	631.143018451662	23240.526773194	0	28.4890945828875	6451.68418861699	0	0	0	0	0	0	0	0	0	0	3755.08181290598	0	100259.698243623	0	0	0	0	0	493.080483165361	0	0	4003.81352330273	0	0	0	695.791348466676	0
02-2020-34-OR	2106.94838652479	0	0	1260.64275846462	2168.65817190418	0	0	7171.55862944736	0	471.639073971031	0	0	0	0	0	0	0	0	0	26953.9526853538	77243.0199277415	0	34151.958365678	0	0	0	0	0	2358.19536985515	0	231275.052076505	493.678283035098	55120.0618692312	2997.33243271309	0	0	0	0	0	7638.78986160557	0	0	0	0	0	0	0	0	2362.60321166797	0	0	38498.090393112	0	0	0	0	0	36946.5300750017	0	0	0	0	0	361324.01692175	38577.4315457426	25565.4825143176
02-2020-55-OR	46998.401204232	0	0	451.272704771314	545676.753279206	90815.880172393	0	7671.63598111234	0	0	0	0	0	0	0	11391.8841326417	0	0	0	534758.155154007	217139.217554353	0	83848.6698767773	56221.9750237042	242.146329389486	11501.9506460006	0	0	50531.5362830513	118739.754611535	9058.47404943394	0	0	0	136614.556381013	0	0	9410.68689218228	0	0	0	0	14187.5735719567	0	0	5811.51190534765	0	0	20516.398090091	0	642557.298337672	258127.987129192	8486.12817996788	4545.7470017208	0	0	0	1695.0243057264	0	0	0	1584.95779236754	0	999216.828225712	93424.4565389979	0
02-2020-29-OR	0	17572.0057857813	3128.02466209773	143004.44061267	336165.605677331	153918.673849253	49344.250513784	15292.5650147	2229.78958596865	0	0	0	0	0	844.07014691526	59983.1453601972	78755.8070768847	84524.3720381559	0	42375.0296216067	212606.37465242	0	2247.84456237326	0	0	0	0	0	8770.20478853663	51686.8837022815	19102.1650360715	0	0	0	582.272989048495	0	0	2062.78105422606	84524.3720381559	0	0	1074.27109607397	4969.63225536738	0	0	0	0	0	60727.9131368872	6910.54221886237	56900.258139111	24175.6134057654	13031.1792200233	12868.6844323818	0	19864.9877891661	11221.1678354617	2694.70522838722	0	13437.4161891269	0	0	0	406.236969103601	17748.0418057262	120191.977925452
02-2020-28-OR	0	28095.045451664	0	0	786837.035683584	187998.848414527	0	0	0	5151.20900725889	0	0	0	0	0	3799.18564577361	0	14655.9332385004	0	38397.4634661817	82027.2573413115	5381.05297871138	0	0	0	0	0	0	5637.93741739358	24363.4609739646	0	0	0	0	0	0	0	1392.58406232983	309613.349780127	0	0	0	0	15602.34959154	0	0	0	0	0	0	176777.054514199	677269.062468817	8017.49853360766	0	0	0	0	0	0	0	0	2190.27784560614	0	206724.371971098	1162.74009087733	0
GBM-BM-298-OR	0	0	0	0	188.877633341515	0	0	0	0	0	0	0	0	0	0	2154.34112615849	0	0	0	0	0	0	27776.3731618549	0	0	0	0	0	0	0	3300.38811944122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2216.82695974516	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-110-OR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63128.0120229284	565727.269202871	0	711423.104242768	0	0	0	0	0	0	0	0	0	333929.100056181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182808.201483064	0	0	0	0	0	0	0	0	0	0	0	0	0	59346.9071361385	39372.8095820088	0
02-2020-44-OR	380.545625810585	0	0	0	194752.87277279	118211.309399524	0	467.033268040263	0	0	518.92585337807	0	0	0	0	0	0	0	0	161922.163782404	34404.784078966	0	11277.9885467501	0	0	0	0	0	0	9686.61592972398	0	0	44627.623390514	0	0	0	0	27624.1529281593	0	0	0	0	4358.97716837579	0	0	5154.66347688883	0	0	0	140248.360639646	102712.723911966	21362.4476307306	242.165398243099	0	0	0	0	0	0	0	0	0	0	349565.752363914	0	0
02-2020-40-OR	0	0	0	0	13359.4343073632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19994.0791455679	3119.00423100383	0	0	31196.0519521019	0	0	0	0	0	0	0	0	0	0	0	12253.6601676625	0	444.713512705749	0	0	0	0	0	0	0	0	0	0	0	0	138.221767462598	0	0	0	0	0	0	0	0	0	0	0	0	11562.5513303495	60150.5074144843	0
