"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9120","TMPRSS3","BrM","High - Low",-0.0380591461322774,0.952068967123757,0.975535889147009
"High...Low.9121","PCYOX1L","BrM","High - Low",0.158447417777398,0.739290322108422,0.862138611793779
"High...Low.9122","YIPF2","BrM","High - Low",0.17309191258077,0.683527062507179,0.829197707616164
"High...Low.9123","PRR14","BrM","High - Low",1.58033894643141,0.000259622834411985,0.00653131559890062
"High...Low.9124","CYREN","BrM","High - Low",2.30533304158307,0.000174679070992712,0.00493688929936978
"High...Low.9125","LRFN4","BrM","High - Low",0.42950559486601,0.482380044083236,0.692224517050413
"High...Low.9126","TRIR","BrM","High - Low",0.798565123228794,0.00195707379236504,0.0266856358237689
"High...Low.9127","CUEDC2","BrM","High - Low",0.249386701533699,0.635156412611796,0.797436795516381
"High...Low.9128","METRN","BrM","High - Low",-1.04833047008725,0.0113619252724138,0.0801984533607819
"High...Low.9129","DDX50","BrM","High - Low",0.193017975976802,0.389276057540958,0.61766370750395
"High...Low.9130","GGCT","BrM","High - Low",0.0225937079172358,0.953374072289544,0.975602058486335
"High...Low.9131","GID4","BrM","High - Low",0.157889151932164,0.720177767312277,0.852176855679502
"High...Low.9132","TMEM106C","BrM","High - Low",-0.710434073537688,1.88494220399612e-05,0.00103327825052792
"High...Low.9133","NUP37","BrM","High - Low",0.591774881939791,0.145150136699915,0.353262604188442
"High...Low.9134","FNDC11","BrM","High - Low",-0.612157429726108,0.353643253769125,0.587537710254024
"High...Low.9135","SPATA5L1","BrM","High - Low",0.836808325646412,0.158871295407433,0.373799095652538
"High...Low.9136","PDCL3","BrM","High - Low",-0.797484810176894,0.00249565886105087,0.0311456444835876
"High...Low.9137","C7orf26","BrM","High - Low",1.89068080232379,0.00194221892727497,0.0265867346307015
"High...Low.9138","NABP2","BrM","High - Low",0.15417099587198,0.474932141136871,0.686678447137745
"High...Low.9139","ZFYVE21","BrM","High - Low",0.712554650757646,0.0448932190688728,0.178628024679616
"High...Low.9140","KCTD15","BrM","High - Low",0.341690660740217,0.275583342746182,0.512483180249778
"High...Low.9141","SECISBP2","BrM","High - Low",0.495343730014677,0.273331042926804,0.509242414508721
"High...Low.9142","NOC4L","BrM","High - Low",-0.187600613545401,0.596429527781441,0.7710977815047
"High...Low.9143","ASPSCR1","BrM","High - Low",0.0818797485407587,0.801439374485993,0.894609179690341
"High...Low.9144","METTL16","BrM","High - Low",0.0663414449078908,0.868337791815791,0.930385671096188
"High...Low.9145","POGLUT2","BrM","High - Low",-0.207074464459491,0.752715783959298,0.868596454170471
"High...Low.9146","FASTKD3","BrM","High - Low",0.149969353218566,0.702830122432652,0.83974664043324
"High...Low.9147","TMEM109","BrM","High - Low",0.986080643964124,0.00584736338483998,0.0537128127077553
"High...Low.9148","C2orf49","BrM","High - Low",2.07044523521665,0.000533167286745754,0.0109070621657852
"High...Low.9149","DSCC1","BrM","High - Low",-0.213612139666372,0.561220157683943,0.74797275469166
"High...Low.9150","ASB8","BrM","High - Low",1.12046896670661,0.0292396052706234,0.138290087131853
"High...Low.9151","DCTPP1","BrM","High - Low",1.33523383596145,0.0045502144513424,0.0455765876965411
"High...Low.9152","C1orf50","BrM","High - Low",0.777660666795693,0.0584103926921868,0.207033542884138
"High...Low.9153","CCDC86","BrM","High - Low",0.2889248713759,0.570648742831224,0.756144716064484
"High...Low.9154","LBHD1","BrM","High - Low",0.278397142894479,0.214628390480422,0.442690918816596
"High...Low.9155","WDR18","BrM","High - Low",-0.379460624753233,0.196869697755539,0.421778947959085
"High...Low.9156","WDR77","BrM","High - Low",0.69124469845218,0.0974592415314796,0.277576300697353
"High...Low.9157","SLC25A23","BrM","High - Low",-0.135350897002935,0.838223005083394,0.914155885993558
"High...Low.9158","SMIM7","BrM","High - Low",0.0982423890455184,0.751873359883098,0.86823840732683
"High...Low.9159","ALG12","BrM","High - Low",0.376496370385317,0.227675287554645,0.458298888185537
"High...Low.9160","ZNF426","BrM","High - Low",-0.41342470261522,0.212327198113527,0.440429623475692
