Algorithm Name,ROI,Total Cells,DAPI Positive Cells,CD56,CD8,CD4,Foxp3,GZMB,CD16,CD8+ GZMB - Cells,CD8+ GZMB+ Cells,CD8- CD4+ Cells,CD4+ FOXP3- Cells,CD4+ FOXP3+ Cells,CD8- CD16+ GZMB- Cells,CD8- CD16+ GZMB+ Cells,CD16+ CD56+ Cells,CD16+ CD56- Cells,CD16+ CD56+ GZMB+ Cells,CD16+ CD56- GZMB- Cells,DAPI Avg Cell Intensity,CD56 Avg Cell Intensity,CD8 Avg Cell Intensity,CD4 Avg Cell Intensity,Foxp3 Avg Cell Intensity,GZMB Avg Cell Intensity,CD16 Avg Cell Intensity
Lymphoid-BM-041924 - HighPlex FL v4.2.3,49,279,279,12,57,74,6,5,7,54,3,40,68,6,6,0,0,7,0,6,71.678764,24.991863,22.566732,40.046753,2.452698,1.879649,4.643661
Lymphoid-BM-041924 - HighPlex FL v4.2.3,50,318,318,2,24,166,0,7,0,21,3,145,166,0,0,0,0,0,0,0,59.488186,3.782387,5.093006,58.400421,0.183351,1.782434,1.900333
Lymphoid-BM-041924 - HighPlex FL v4.2.3,51,334,334,6,27,89,0,18,0,17,10,80,89,0,0,0,0,0,0,0,88.336052,13.851234,4.018739,26.347321,0.000592,4.487943,0.152534
Lymphoid-BM-041924 - HighPlex FL v4.2.3,52,400,400,0,4,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,55.684364,0.619261,1.552352,1.790855,0.000008,0.001307,0.079424
Lymphoid-BM-041924 - HighPlex FL v4.2.3,53,278,278,1,34,20,3,0,0,34,0,0,17,3,0,0,0,0,0,0,45.167416,9.527089,18.519588,19.064514,1.496823,0.006185,0.054327
Lymphoid-BM-041924 - HighPlex FL v4.2.3,54,470,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.621826,0.027725,0.001648,0.005187,0,0.058968,0.284605
Lymphoid-BM-041924 - HighPlex FL v4.2.3,55,260,260,0,0,0,0,0,11,0,0,0,0,0,11,0,0,11,0,11,91.428856,0.000029,0.004076,0.000543,0,0.202422,4.405948
Lymphoid-BM-041924 - HighPlex FL v4.2.3,56,450,450,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,83.062363,0.014626,0.024614,0.022607,0.000786,0.436025,1.760259
Lymphoid-BM-041924 - HighPlex FL v4.2.3,57,328,328,0,10,3,0,0,1,10,0,0,3,0,1,0,0,1,0,1,119.90097,1.617394,3.865345,4.377223,0.030782,0.118766,1.196728
Lymphoid-BM-041924 - HighPlex FL v4.2.3,58,435,435,0,5,3,0,1,9,5,0,0,3,0,9,0,0,9,0,9,71.494476,0.533048,1.049646,1.379295,0.023138,0.224229,1.568424
