Algorithm Name,ROI,Total Cells,DAPI Positive Cells,IBA1,CD163,CD206,ARG1,CD11b,CD11c,IBA1+ CD163+ Cells,IBA1+ CD206+ Cells,IBA1+ ARG1+ Cells,IBA1+ CD11b+ Cells,IBA1+ CD11c+ Cells,IBA1+ CD163+ CD206+ ARG1+ Cells,IBA1+ CD163+ CD206+ ARG1- Cells,CD11b+ CD11c+ Cells,CD11b+ CD11c+ CD206+ Cells,CD11b+ CD11c- Cells,CD11b+ ARG1+ Cells,IBA1+ CD163- CD206- ARG1- Cells,CD11b+ CD163- CD206- Cells,IBA1+ CD11b+ CD163+ CD206+ Cells,DAPI Avg Cell Intensity,IBA1 Avg Cell Intensity,CD163 Avg Cell Intensity,CD206 Avg Cell Intensity,ARG1 Avg Cell Intensity,CD11b Avg Cell Intensity,CD11c Avg Cell Intensity
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,25,390,383,169,278,112,0,232,60,168,91,0,155,49,0,91,47,31,185,0,1,0,91,45.265854,21.915787,112.050484,21.15679,0.024954,8.790125,10.355298
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,24,384,379,49,289,32,0,101,196,49,14,0,33,41,0,14,70,24,31,0,0,0,12,57.643494,8.004462,99.312973,7.339899,0.000701,2.412361,27.843761
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,22,306,297,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,46.775345,0.809573,0.485396,13.992593,0.017882,0.203788,0.027454
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,20,71,69,4,20,3,14,25,24,2,2,2,2,4,2,0,19,3,6,13,2,0,2,54.913185,5.274498,44.684593,3.805387,14.308655,8.691805,20.143007
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,19,417,411,29,45,27,5,25,6,25,17,0,15,2,0,16,3,1,22,4,3,0,12,66.417282,4.088642,19.314512,4.758685,1.667431,0.901232,0.986247
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,18,406,395,19,23,3,9,29,4,12,2,0,9,2,0,2,4,1,25,6,7,0,2,63.046047,2.975001,10.365521,0.579692,1.843684,0.887755,0.876825
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,17,128,123,8,39,6,14,64,41,8,2,3,8,8,1,1,33,5,31,13,0,0,2,58.551857,5.193368,46.305489,5.890038,8.536905,5.998593,18.033319
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,16,415,410,35,76,12,13,36,14,34,10,1,18,3,0,10,8,2,28,7,0,0,8,70.152008,5.469908,26.949938,2.284943,2.344924,0.8584,2.244277
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,14,287,285,30,103,32,2,72,22,30,15,1,29,16,1,14,21,9,51,2,0,0,15,65.066948,6.528362,54.02475,9.004845,0.696152,3.907506,5.06622
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,13,403,403,85,84,25,2,93,113,48,16,2,52,64,2,13,66,18,27,2,36,11,14,88.366615,12.895087,34.341698,5.098194,0.067127,2.670595,18.775652
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,12,414,407,69,104,37,17,153,76,37,19,4,57,27,3,15,57,15,96,16,30,23,18,57.127079,11.684266,28.686455,7.020006,2.968733,5.322409,10.915456
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,11,415,409,32,39,2,0,45,7,23,1,0,22,5,0,1,7,0,38,0,9,3,1,57.437218,6.083529,14.740209,0.84044,0.009228,1.190409,1.489592
Brain met-032724- Indica Labs - HighPlex FL v4.2.14,10,308,305,54,74,40,28,108,10,42,26,4,44,9,4,21,9,8,99,20,11,4,24,54.822906,10.045195,34.356052,9.799535,9.14463,7.061187,2.497422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
