"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.187","ErbB4 / HER4+ErbB2 / HER2","Glioma","High - Low",1.4453029611355,0.000619263793033151,0.0257768553850049
"High...Low.188","ROCK1","Glioma","High - Low",0.0884806423551091,0.707806420546484,0.925267058789595
"High...Low.189","SFRP4","Glioma","High - Low",0.274164722551872,0.514986535176984,0.892204591170601
"High...Low.190","HLA-DPB1","Glioma","High - Low",0.0240309315046551,0.946883795524309,0.982665539201889
"High...Low.191","CCR6","Glioma","High - Low",-0.663370810956219,0.100733162934498,0.441370306015631
"High...Low.192","Histone H3 (phospho S28)","Glioma","High - Low",0.846124448748559,0.0145242168811608,0.188495277403091
"High...Low.193","LYVE1","Glioma","High - Low",0.100003647831235,0.434267132266447,0.844614151624633
"High...Low.194","CD47","Glioma","High - Low",-0.701722352200759,0.106898602781148,0.450597907925599
"High...Low.195","IL4","Glioma","High - Low",0.260507761417099,0.208417506625455,0.667336824098812
"High...Low.196","c-Jun","Glioma","High - Low",0.146337344588281,0.42114607119585,0.844614151624633
"High...Low.197","MMP14","Glioma","High - Low",0.195256699369023,0.447814431205177,0.855237815197528
"High...Low.198","AIF","Glioma","High - Low",0.221000972499953,0.282561934627217,0.721888559002302
"High...Low.199","ALDH1A1","Glioma","High - Low",-0.0354732875999384,0.920283635651284,0.975406927237448
"High...Low.200","MEKK3","Glioma","High - Low",0.269912653073494,0.155145675972037,0.543826422091455
"High...Low.201","CXCL5 + CXCL6","Glioma","High - Low",0.443328670220932,0.0750249817391005,0.405820886939019
"High...Low.202","RSK1 p90 (phospho T359)","Glioma","High - Low",-0.1121595652754,0.752673752953736,0.925267058789595
"High...Low.203","LC3B","Glioma","High - Low",-0.176954161098818,0.541880106457506,0.906764198242963
"High...Low.204","ASS1","Glioma","High - Low",-0.0539251105123195,0.886310145757932,0.955651924824343
"High...Low.205","p53 (acetyl K373)","Glioma","High - Low",0.542487552140747,0.044787538120897,0.331427782094637
"High...Low.206","ATG7","Glioma","High - Low",-0.0955336643061836,0.730183957920057,0.925267058789595
"High...Low.207","Histone H2A (phospho T120)","Glioma","High - Low",0.0641620359764072,0.876726755039532,0.955651924824343
"High...Low.208","GLB1/Beta-galactosidase","Glioma","High - Low",0.978840781396784,0.00279226432060224,0.0664160013400389
"High...Low.209","SOD2/MnSOD (acetyl K68)","Glioma","High - Low",-0.0603296336539787,0.821573827016779,0.933734076438864
"High...Low.210","Carbonic Anhydrase 9/CA9","Glioma","High - Low",0.395758298137166,0.0891114806697994,0.430059754536858
"High...Low.211","Neutrophil Elastase","Glioma","High - Low",0.14867229563002,0.433272497980341,0.844614151624633
"High...Low.212","Bcl-XL","Glioma","High - Low",0.459372333160773,0.0521033940564591,0.354090412669406
"High...Low.213","iNOS","Glioma","High - Low",-0.11914960963468,0.646917677817958,0.925267058789595
"High...Low.214","IRF3","Glioma","High - Low",0.287544197714973,0.186731219750659,0.615658377989795
"High...Low.215","ATR (phospho S428)","Glioma","High - Low",0.280941428113741,0.222090718489567,0.678497332633265
"High...Low.216","CD14","Glioma","High - Low",0.264634961703697,0.561715528658602,0.91173381530081
"High...Low.217","IGF2BP1/IMP1","Glioma","High - Low",0.0710104480339816,0.736643633475162,0.925267058789595
"High...Low.218","Caspase-10/CASP-10","Glioma","High - Low",-0.0521906201537266,0.766743659495934,0.925267058789595
"High...Low.219","CCR3","Glioma","High - Low",-0.299639759136528,0.210839715022299,0.667673652148877
"High...Low.220","ATM (phospho S1981)","Glioma","High - Low",0.380144332990359,0.239919357775107,0.702506852773279
"High...Low.221","HLA G","Glioma","High - Low",0.184023264490943,0.368061913070137,0.808610130914368
"High...Low.222","ATM","Glioma","High - Low",0.226364796223147,0.241194143498916,0.702506852773279
"High...Low.223","STAT1 (phospho S727)","Glioma","High - Low",-0.118348892275461,0.728418631826035,0.925267058789595
"High...Low.224","c-Myc","Glioma","High - Low",0.0660300509187131,0.763159349865376,0.925267058789595
"High...Low.225","Insulin","Glioma","High - Low",0.162734128490144,0.584841778761349,0.91173381530081
"High...Low.226","alpha smooth muscle Actin","Glioma","High - Low",-0.0299336359471443,0.923692736096042,0.975406927237448
"High...Low.227","Bak","Glioma","High - Low",1.39324640315912,7.42003483291708e-06,0.00123543579968069
"High...Low.228","PAK1+PAK2+PAK3 (phospho S141 + S144 + S154)","Glioma","High - Low",0.341663005028901,0.166157940144076,0.572326595557766
"High...Low.229","FANCI","Glioma","High - Low",0.00883837716041795,0.973812696506377,0.982665539201889
"High...Low.230","RPS6 (phospho S235 + S236)","Glioma","High - Low",0.729398072662266,0.0668709843603301,0.380050029953491
"High...Low.231","MSH2","Glioma","High - Low",0.616684219272967,0.00520138973423287,0.0962257100833081
"High...Low.232","HLA A","Glioma","High - Low",0.44036401541714,0.360849088410398,0.808610130914368
"High...Low.233","SMAD5","Glioma","High - Low",-0.177675260125917,0.478144663925529,0.856142930969841
"High...Low.234","CD64","Glioma","High - Low",-0.11872397683594,0.756160270241612,0.925267058789595
"High...Low.235","Hsp27 (phospho S78)","Glioma","High - Low",0.110998439609216,0.803611616360674,0.925267058789595
"High...Low.236","Integrin alpha 5","Glioma","High - Low",-0.317297832508953,0.16671375306037,0.572326595557766
"High...Low.237","Adenosine Receptor A2a","Glioma","High - Low",-0.269473245381289,0.455567435116597,0.855237815197528
"High...Low.238","mTOR (phospho S2448)","Glioma","High - Low",0.098316291956894,0.732666561114998,0.925267058789595
"High...Low.239","Somatostatin Receptor 2","Glioma","High - Low",-0.0794764593490688,0.885806321054578,0.955651924824343
"High...Low.240","Histone H3 (acetyl K9)","Glioma","High - Low",1.18363043076738,0.000269104627893581,0.0179223682177125
"High...Low.241","NCAM1","Glioma","High - Low",-0.138367877461575,0.784811375645876,0.925267058789595
"High...Low.242","beta glucuronidase (GUSB)","Glioma","High - Low",0.466160019861059,0.0995558307683424,0.441370306015631
"High...Low.243","TRAF2","Glioma","High - Low",0.100169465178741,0.651259867071454,0.925267058789595
"High...Low.244","BTK","Glioma","High - Low",-0.265346433567334,0.370280201941736,0.808610130914368
"High...Low.245","Caveolin-1","Glioma","High - Low",-0.214611522618369,0.610901025490599,0.923783456584658
"High...Low.246","Cleaved PARP1","Glioma","High - Low",0.560487274749316,0.0297979899445983,0.291845019163271
"High...Low.247","Histone H2A.X","Glioma","High - Low",0.736327707326284,0.0208804489822349,0.215796012258121
"High...Low.248","TROP2","Glioma","High - Low",-0.0657822532017565,0.792128697255814,0.925267058789595
