Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
COMMD9,Glioma,High - Low,0.737423861,0.074820134,0.137955219
COMT,Glioma,High - Low,0.940325826,0.002322984,0.013162196
COPS7B,Glioma,High - Low,0.747490678,0.012251017,0.03789576
COQ6,Glioma,High - Low,0.056690588,0.877934122,0.91040642
CPT1A,Glioma,High - Low,0.974929188,0.105396576,0.177944212
CRAT,Glioma,High - Low,0.58353284,0.041919602,0.089288003
CREM,Glioma,High - Low,1.281094009,0.017065227,0.047458585
CRIP2,Glioma,High - Low,0.290313338,0.182499227,0.272489722
CRTC2,Glioma,High - Low,1.149104371,0.004663276,0.020112775
CTPS1,Glioma,High - Low,1.756130505,0.001095183,0.008690446
CYBC1,Glioma,High - Low,0.652212546,0.004481471,0.019610928
CYBRD1,Glioma,High - Low,0.236513285,0.704862962,0.776897951
CYHR1,Glioma,High - Low,1.375975164,0.017277169,0.047895401
DAAM2,Glioma,High - Low,-0.532452967,0.58623733,0.675193997
DCAF11,Glioma,High - Low,1.061561999,0.005559758,0.022536384
DCTN3,Glioma,High - Low,0.850932867,0.000413112,0.005036196
DDA1,Glioma,High - Low,0.691554334,0.010300267,0.033875942
DDX49,Glioma,High - Low,0.84947574,0.002342368,0.013202166
DDX56,Glioma,High - Low,1.335686606,0.001221432,0.009138402
DHFR,Glioma,High - Low,1.332641785,0.000870733,0.007592291
DLGAP5,Glioma,High - Low,0.029471719,0.954626504,0.967708641
DNASE2,Glioma,High - Low,0.581616755,0.181238804,0.270922101
DNPH1,Glioma,High - Low,1.602974187,0.00142603,0.009806204
DPAGT1,Glioma,High - Low,1.933463225,0.004780261,0.0204069
DPCD,Glioma,High - Low,0.264575833,0.49526376,0.593545849
DPM3,Glioma,High - Low,0.449960966,0.020831048,0.054526371
DRG2,Glioma,High - Low,0.952711634,0.090951435,0.159692523
DSN1,Glioma,High - Low,1.173127786,0.043577767,0.091871542
DTNBP1,Glioma,High - Low,-0.113930516,0.7287578,0.796064231
EID1,Glioma,High - Low,0.286736191,0.053018143,0.106011996
EIF5,Glioma,High - Low,0.527623991,0.004797773,0.020448322
ELFN2,Glioma,High - Low,0.927644996,0.124349492,0.201873266
ENAH,Glioma,High - Low,2.354670726,0.001836598,0.011412709
ENO3,Glioma,High - Low,-0.103013093,0.817829219,0.866329932
ENY2,Glioma,High - Low,0.879422332,0.052951742,0.105960135
EPS8L2,Glioma,High - Low,1.419604945,0.00529159,0.021793892
ERI3,Glioma,High - Low,0.422964869,0.31942135,0.424113552
ERLIN1,Glioma,High - Low,0.946641346,0.088386738,0.156279211
EXOSC4,Glioma,High - Low,1.901238629,3.01E-05,0.001428476
EXOSC8,Glioma,High - Low,1.487330307,0.006084944,0.02396349
CYRIB,Glioma,High - Low,0.661339245,0.080713593,0.146141832
FAM83D,Glioma,High - Low,0.868674856,0.185901841,0.276686689
FANCG,Glioma,High - Low,1.041879508,0.054454897,0.108076089
FAT1,Glioma,High - Low,2.112537436,0.00171556,0.011016099
FIP1L1,Glioma,High - Low,0.754334126,0.004667522,0.020122443
FN1,Glioma,High - Low,0.796742457,0.275437261,0.377543975
FUNDC2,Glioma,High - Low,0.856915013,9.82E-05,0.002497662
G6PC3,Glioma,High - Low,1.494023979,4.51E-05,0.001698788
GADD45GIP1,Glioma,High - Low,0.885669908,7.44E-05,0.002187682
GALE,Glioma,High - Low,1.286382904,0.01222364,0.037835489
GALNT10,Glioma,High - Low,1.466669824,0.041972748,0.089372124
GCK,Glioma,High - Low,-0.839218772,0.000430467,0.00517065
GHITM,Glioma,High - Low,0.415699307,0.058940737,0.114911396
GINS4,Glioma,High - Low,-0.091407235,0.814753722,0.863980763
GIPC1,Glioma,High - Low,0.714791355,0.003881724,0.017862067
GLT8D1,Glioma,High - Low,1.659459497,0.008445041,0.029705826
GMPPB,Glioma,High - Low,1.109896373,0.063714588,0.121623429
GRWD1,Glioma,High - Low,0.238744216,0.556694053,0.649335878
GSPT2,Glioma,High - Low,1.999125865,0.001185801,0.009018428
GSTM1,Glioma,High - Low,-1.467790382,0.045607983,0.095047536
GTSE1,Glioma,High - Low,0.262720272,0.648954542,0.730338819
GUCD1,Glioma,High - Low,1.659556965,0.000213176,0.003588354
HDAC6,Glioma,High - Low,0.677401863,0.006652311,0.025253322
HMBS,Glioma,High - Low,2.054233426,0.001339062,0.009514572
HMGN2,Glioma,High - Low,0.626074406,0.011762695,0.036923752
HNRNPA3,Glioma,High - Low,0.787650193,0.000106531,0.002616912
HSF4,Glioma,High - Low,0.343537862,0.539406047,0.633744021
HSPA5,Glioma,High - Low,0.681229011,0.169375948,0.256918328
HTRA2,Glioma,High - Low,1.092954776,0.004745032,0.020342731
IFI6,Glioma,High - Low,0.661850617,0.297141594,0.4004194
IFITM3,Glioma,High - Low,0.662971875,0.243674197,0.3429091
IFRD2,Glioma,High - Low,1.652854332,0.002257118,0.012910637
IKBIP,Glioma,High - Low,0.025831897,0.962763808,0.973545454
IL32,Glioma,High - Low,2.203707279,0.005391452,0.022123835
IMMP1L,Glioma,High - Low,1.098770188,0.048697933,0.099750006
ING1,Glioma,High - Low,0.37905785,0.255371022,0.356040122
INHBB,Glioma,High - Low,0.468673338,0.447059686,0.549043474
IRF1,Glioma,High - Low,1.535790565,0.0799678,0.145157133
ISG15,Glioma,High - Low,0.985684771,0.144622947,0.227262151
ISY1,Glioma,High - Low,1.592050955,0.000431751,0.005171741
ITGB1BP1,Glioma,High - Low,1.828932592,2.57E-05,0.001342514
JTB,Glioma,High - Low,0.870601699,1.04E-07,8.24E-05
KIFC1,Glioma,High - Low,0.514791029,0.466794696,0.566925196
KLF2,Glioma,High - Low,0.718396226,0.382414808,0.487058082
LEMD2,Glioma,High - Low,1.867238191,0.000889259,0.007695355
LGALS1,Glioma,High - Low,-0.473364879,0.312610432,0.417143129
LILRA6,Glioma,High - Low,0.337156538,0.575729997,0.665727532
LMCD1,Glioma,High - Low,-0.639205294,0.288633433,0.391411449
LMO4,Glioma,High - Low,-0.179099339,0.667006957,0.746115973
LRPAP1,Glioma,High - Low,0.442082926,0.047683431,0.098240623
LRRC45,Glioma,High - Low,0.881200689,0.06773119,0.127561058
LTBR,Glioma,High - Low,-0.049805135,0.943910976,0.960345102
MAGOHB,Glioma,High - Low,0.980966488,0.010500631,0.034328734
MANEAL,Glioma,High - Low,0.998308683,0.010713047,0.034719287
MCEE,Glioma,High - Low,-0.262268515,0.330525043,0.434852391
MCM4,Glioma,High - Low,1.854677676,0.006424057,0.024803943
MCTS1,Glioma,High - Low,0.795069881,0.000602127,0.006106626
METTL3,Glioma,High - Low,1.972602769,0.001032175,0.008442352
MFGE8,Glioma,High - Low,0.168864232,0.485764397,0.58483237
MFSD10,Glioma,High - Low,2.051240622,0.000324504,0.004466889
MICOS13,Glioma,High - Low,0.996690476,0.000323125,0.004462744
MIEN1,Glioma,High - Low,1.394675186,0.015623753,0.044761881
MORN2,Glioma,High - Low,0.842598193,0.090760241,0.159386302
MORN5,Glioma,High - Low,-0.058357858,0.901938739,0.928533096
MPI,Glioma,High - Low,2.195551867,0.000336325,0.004534628
MPV17L2,Glioma,High - Low,0.976905443,0.010273262,0.033829936
MRPL11,Glioma,High - Low,1.046857601,0.001194045,0.009021138
MRPL17,Glioma,High - Low,2.494062245,0.000509488,0.005596246
MRPL22,Glioma,High - Low,0.910139117,0.003305456,0.016230929
MRPL35,Glioma,High - Low,0.885222904,0.000520374,0.005658852
MRPL52,Glioma,High - Low,0.798926472,0.000586008,0.006017732
MRPS11,Glioma,High - Low,1.248492829,0.005820953,0.023314082
MRPS9,Glioma,High - Low,0.874465638,0.015974721,0.045399832
MTERF4,Glioma,High - Low,1.20938374,0.009464949,0.032046696
MTLN,Glioma,High - Low,0.688589857,0.289141109,0.39204853
MYL6,Glioma,High - Low,0.770014224,0.002256234,0.012910637
MYO18A,Glioma,High - Low,0.527005004,0.10878223,0.182506049
NAA10,Glioma,High - Low,0.662809423,0.006352925,0.024652888
NADSYN1,Glioma,High - Low,1.180878025,0.015181335,0.043946322
NASP,Glioma,High - Low,0.978469971,0.001736493,0.011096098
NCAPD2,Glioma,High - Low,0.313208068,0.645765027,0.726999268
NCAPD3,Glioma,High - Low,1.695757025,0.000148234,0.003075795
NCAPH,Glioma,High - Low,-0.162702506,0.699447761,0.772620394
NCOA7,Glioma,High - Low,-0.493816407,0.12033918,0.197073281
NDRG2,Glioma,High - Low,1.275055991,0.226588877,0.323682976
NDUFAF4,Glioma,High - Low,0.899169125,0.008281078,0.029280087
NENF,Glioma,High - Low,0.432594692,0.149542835,0.233452288
NME4,Glioma,High - Low,1.170228102,0.000484652,0.005490372
NOL6,Glioma,High - Low,0.802026314,0.018179499,0.04951616
NSFL1C,Glioma,High - Low,0.644190913,0.081743417,0.147460259
NTPCR,Glioma,High - Low,0.980420426,0.001462064,0.009950347
NUSAP1,Glioma,High - Low,0.814555522,0.209422035,0.303762765
ODF2,Glioma,High - Low,1.13581514,0.060041372,0.116445221
ODF2L,Glioma,High - Low,-0.43949392,0.459242971,0.560013804
ORC4,Glioma,High - Low,1.653152624,0.003357875,0.016410844
ORC6,Glioma,High - Low,0.797614367,0.224729914,0.321713182
OVCA2,Glioma,High - Low,1.932839692,0.001134777,0.008864939
OXA1L,Glioma,High - Low,1.505572155,0.010143354,0.033528639
P2RX4,Glioma,High - Low,0.044298276,0.934948441,0.953428555
PALD1,Glioma,High - Low,0.504121364,0.268326682,0.36973282
PAN2,Glioma,High - Low,1.783991325,0.001015446,0.008356523
PCLAF,Glioma,High - Low,1.183153023,0.098804579,0.169652592
PDAP1,Glioma,High - Low,0.935881731,5.10E-05,0.001809178
PHACTR2,Glioma,High - Low,-0.641934347,0.09863901,0.169463398
PHF19,Glioma,High - Low,1.589440746,8.06E-05,0.002263891
PHF21A,Glioma,High - Low,0.996060897,0.007644014,0.027746903
PIMREG,Glioma,High - Low,1.275535565,0.072020157,0.134000271
PISD,Glioma,High - Low,0.634515786,0.060712878,0.117330438
PLCB3,Glioma,High - Low,1.710254037,0.004527383,0.019726134
PLEKHJ1,Glioma,High - Low,1.141102393,8.05E-05,0.002263891
PNKD,Glioma,High - Low,0.87763276,0.110391438,0.184615545
POLR3E,Glioma,High - Low,0.574149199,0.038109834,0.083342586
PPCS,Glioma,High - Low,-0.894505445,0.140082813,0.221590463
PPOX,Glioma,High - Low,1.604922718,0.012003933,0.037340633
PPP1R16A,Glioma,High - Low,0.444025778,0.045742403,0.095216565
PROKR1,Glioma,High - Low,-0.79308144,0.036769192,0.081322323
PRR11,Glioma,High - Low,-0.330525344,0.341103155,0.445270549
PSMB10,Glioma,High - Low,0.678508178,0.079523906,0.14452665
PSMD9,Glioma,High - Low,2.24935591,5.50E-05,0.001878269
PSMF1,Glioma,High - Low,0.957929065,3.27E-05,0.00148681
PSPC1,Glioma,High - Low,1.199653661,0.000468957,0.00539502
RAB18,Glioma,High - Low,0.874994971,0.001120479,0.008827507
RAB24,Glioma,High - Low,0.387606321,0.113745599,0.188754262
RAB27A,Glioma,High - Low,0.09103044,0.900344202,0.927401985
RBIS,Glioma,High - Low,0.197559853,0.215537119,0.310795981
RCHY1,Glioma,High - Low,0.24927984,0.208839054,0.303133827
REC8,Glioma,High - Low,1.496751845,0.001203721,0.009057654
RECQL4,Glioma,High - Low,1.296150316,0.053009489,0.106011996
RFC2,Glioma,High - Low,1.641647333,0.001043375,0.008469258
RFC4,Glioma,High - Low,1.399333776,0.015886313,0.045265267
RHEB,Glioma,High - Low,0.732393495,0.000373971,0.004775405
RIDA,Glioma,High - Low,1.309359288,0.003555941,0.01697258
RIOK1,Glioma,High - Low,1.139978025,0.041655631,0.088812438
RNASEH2C,Glioma,High - Low,1.25335597,0.004336468,0.019233529
RNF14,Glioma,High - Low,1.085521079,0.025428975,0.062465585
RNF183,Glioma,High - Low,-1.111988671,0.007145033,0.02655405
RNF187,Glioma,High - Low,0.753210673,0.000155686,0.003146788
RNF26,Glioma,High - Low,1.230998166,0.037710018,0.08274464
RNF5,Glioma,High - Low,0.970706543,3.07E-05,0.001439772
RNFT1,Glioma,High - Low,0.545567364,0.291097693,0.394018618
RPA3,Glioma,High - Low,0.526907833,0.221280048,0.31778213
RPAIN,Glioma,High - Low,1.620890271,0.001964216,0.011922801
RPL22L1,Glioma,High - Low,2.21066178,0.001288425,0.009359507
RPL41,Glioma,High - Low,0.820880644,0.005917487,0.02354944
RPS20,Glioma,High - Low,1.057614715,0.000583491,0.006006215
RPS23,Glioma,High - Low,1.0270603,0.000700599,0.006645636
RRP1,Glioma,High - Low,0.673997331,0.01346624,0.040340015
RSU1,Glioma,High - Low,1.126971426,0.00050265,0.005567851
SAPCD2,Glioma,High - Low,1.496421883,0.039200983,0.085018797
SBSN,Glioma,High - Low,0.134120749,0.756366049,0.818235204
SCG3,Glioma,High - Low,0.90180721,0.215436541,0.310719391
SDHAF3,Glioma,High - Low,0.280910076,0.634344901,0.718032142
SEC24D,Glioma,High - Low,0.017270955,0.958309795,0.970315532
SEM1,Glioma,High - Low,0.879250189,0.00050879,0.00559327
SFXN3,Glioma,High - Low,0.099562344,0.763555156,0.824037888
SHARPIN,Glioma,High - Low,2.177000793,4.25E-06,0.000629867
SHMT1,Glioma,High - Low,0.992624455,0.112959404,0.187794021
SLC25A10,Glioma,High - Low,-0.225108605,0.366670844,0.471639784
SLC30A5,Glioma,High - Low,2.437267194,3.77E-05,0.001547464
SMDT1,Glioma,High - Low,1.222440131,0.000168837,0.003222428
SMIM4,Glioma,High - Low,0.407467571,0.069019207,0.129558204
SNRNP25,Glioma,High - Low,1.215741785,0.029213158,0.069003766
SNRPE,Glioma,High - Low,1.131756089,5.95E-05,0.001947897
SPARC,Glioma,High - Low,1.255500658,0.070739013,0.132076179
SPC24,Glioma,High - Low,0.673313279,0.386017795,0.490674431
SPCS2,Glioma,High - Low,0.671450496,0.000488095,0.005490372
SPIDR,Glioma,High - Low,0.824562613,0.000405785,0.004988674
SRA1,Glioma,High - Low,0.76471242,0.028103664,0.067109479
STARD10,Glioma,High - Low,0.808451907,0.242988169,0.34220115
STAT5A,Glioma,High - Low,0.39481154,0.50123177,0.599326719
STC2,Glioma,High - Low,0.711327415,0.319922408,0.424477512
STK25,Glioma,High - Low,1.007008801,0.000468348,0.005393209
SUMO1,Glioma,High - Low,0.402000234,0.012948749,0.039330195
SYPL1,Glioma,High - Low,0.881152971,0.002011501,0.012114342
TBL2,Glioma,High - Low,1.185383088,0.035125544,0.078709353
TEAD1,Glioma,High - Low,1.170306607,0.00285108,0.014919739
TGFBI,Glioma,High - Low,0.545112435,0.596909841,0.685195559
THBS1,Glioma,High - Low,0.022275682,0.981098976,0.986751336
THOC3,Glioma,High - Low,1.560316631,0.002241103,0.012889947
TLCD1,Glioma,High - Low,0.152495083,0.794475678,0.848940671
TLN2,Glioma,High - Low,0.195025417,0.671772423,0.750022711
TMA16,Glioma,High - Low,1.965383577,0.0023862,0.013300346
TMED5,Glioma,High - Low,0.923959253,0.014057383,0.041537648
TMEM107,Glioma,High - Low,1.039510352,0.044403674,0.093184374
TMEM235,Glioma,High - Low,0.08835524,0.904722692,0.930521147
TMEM237,Glioma,High - Low,0.549122894,0.117138136,0.192916932
TMEM59,Glioma,High - Low,0.252732955,0.259226256,0.36003494
TMSB4X,Glioma,High - Low,-0.043402431,0.889935342,0.919791872
TNPO2,Glioma,High - Low,0.717165705,0.001116553,0.008814189
TRIM4,Glioma,High - Low,2.487353583,0.000564415,0.005897757
TRMT2A,Glioma,High - Low,0.434321519,0.12057219,0.197380806
TRNAU1AP,Glioma,High - Low,0.350468028,0.359257867,0.463744775
TRUB2,Glioma,High - Low,1.370938166,0.002021844,0.012143121
TSC22D1,Glioma,High - Low,0.928599863,0.041689634,0.088855996
TSSC4,Glioma,High - Low,1.494989661,0.000624206,0.006236971
TUBB6,Glioma,High - Low,-0.637040805,0.298014793,0.401141944
TUFM,Glioma,High - Low,0.897556507,9.67E-05,0.002486691
TXNDC15,Glioma,High - Low,0.806906709,0.000849535,0.007494645
UBE2A,Glioma,High - Low,0.52668716,0.008934859,0.030874664
UBE2N,Glioma,High - Low,0.951547663,0.003146225,0.015740742
UBE2Q1,Glioma,High - Low,1.511499562,0.000496253,0.005534443
UNC119,Glioma,High - Low,2.013085849,4.18E-05,0.001634539
UQCC2,Glioma,High - Low,0.878978341,0.000614531,0.006170284
UQCC3,Glioma,High - Low,1.376142481,0.003591205,0.017036102
UQCR11,Glioma,High - Low,0.971126151,5.50E-06,0.000660851
UQCRB,Glioma,High - Low,0.57392161,0.023756884,0.059610748
VAPB,Glioma,High - Low,0.957038774,0.025210665,0.062104089
WBP1,Glioma,High - Low,0.677626759,0.001732943,0.011088621
DYNC2I2,Glioma,High - Low,0.907935789,0.0426791,0.090478864
WDR83OS,Glioma,High - Low,0.878287365,0.000575687,0.005963189
YLPM1,Glioma,High - Low,1.463146237,0.001508506,0.010165144
ZDHHC16,Glioma,High - Low,1.893620488,3.97E-05,0.001578086
ZDHHC3,Glioma,High - Low,1.071694687,0.003674938,0.017271102
ZFAND5,Glioma,High - Low,0.468709617,0.086486897,0.153638011
ZNF146,Glioma,High - Low,0.689009217,0.004900551,0.020683214
ZNF326,Glioma,High - Low,2.4588367,0.000135562,0.002934234
ZNF428,Glioma,High - Low,0.663882157,0.023977743,0.059989328
ZNF706,Glioma,High - Low,0.482811342,0.00248926,0.013699822
ZNF770,Glioma,High - Low,0.631919071,0.021455993,0.055617366
ZNF814,Glioma,High - Low,0.628847848,0.16764904,0.254861303
ZNF83,Glioma,High - Low,1.223904071,0.000796147,0.007208818
ZNRF1,Glioma,High - Low,0.798338587,0.042863018,0.090751212
ZSWIM7,Glioma,High - Low,1.349731937,0.003569828,0.016982414
AATF,Glioma,High - Low,1.968706402,0.001525417,0.010237524
ABCA1,Glioma,High - Low,0.922482567,0.062462103,0.119844126
ABCA2,Glioma,High - Low,-0.01341663,0.985564638,0.989494502
ABCC10,Glioma,High - Low,1.530325631,0.004273534,0.019051204
ABCC9,Glioma,High - Low,0.088026199,0.891207474,0.92074327
ABCG1,Glioma,High - Low,0.378065837,0.23508445,0.333401289
ABLIM1,Glioma,High - Low,0.624474242,0.010001395,0.033231555
ACACA,Glioma,High - Low,1.110175704,0.024703869,0.061143244
ACBD6,Glioma,High - Low,0.810800658,0.031762982,0.073423856
ACKR1,Glioma,High - Low,0.490794895,0.395132972,0.499322074
ACOT1,Glioma,High - Low,0.833178631,0.012200463,0.037772681
ACSF2,Glioma,High - Low,-0.363725241,0.197677253,0.290742336
ACSF3,Glioma,High - Low,0.372846307,0.485817042,0.58483237
ADAM23,Glioma,High - Low,1.350632143,0.062835976,0.120402669
ADAMTS13,Glioma,High - Low,0.631040221,0.149121158,0.232905084
ADAMTS15,Glioma,High - Low,0.403753612,0.518823543,0.615248315
ADAMTSL4,Glioma,High - Low,-0.279120201,0.601166683,0.688874092
ADAT3,Glioma,High - Low,1.872967621,0.002179679,0.012717708
ADCY7,Glioma,High - Low,-0.175570564,0.726270943,0.794474514
ADGRB2,Glioma,High - Low,0.82809524,0.147213083,0.230529948
ADGRG1,Glioma,High - Low,1.609246578,0.002389119,0.01331095
ADGRL3,Glioma,High - Low,1.424961043,0.030375818,0.071099501
ADHFE1,Glioma,High - Low,0.50682021,0.246428141,0.345818183
ADRM1,Glioma,High - Low,0.653022372,0.006993542,0.026196981
ADSS2,Glioma,High - Low,0.293010029,0.121313725,0.198222963
AFDN,Glioma,High - Low,1.167968366,0.001305297,0.009403911
AGAP9,Glioma,High - Low,0.978364546,0.00225668,0.012910637
AGO1,Glioma,High - Low,0.373665131,0.041790162,0.089041267
AGRN,Glioma,High - Low,0.80640559,0.006878551,0.025849847
AGT,Glioma,High - Low,1.114979144,0.222758871,0.319310477
AGTPBP1,Glioma,High - Low,0.109559896,0.819050666,0.867272978
AHR,Glioma,High - Low,0.963421395,0.130505617,0.209812137
AHSA1,Glioma,High - Low,0.913956747,0.006463837,0.024890849
AK6,Glioma,High - Low,1.535803003,0.013470293,0.040340015
AKAP6,Glioma,High - Low,1.08169357,0.008484194,0.029789098
AKR1C3,Glioma,High - Low,1.600702589,0.012943517,0.039330195
ALDH7A1,Glioma,High - Low,1.266407112,0.05115591,0.103409655
ALDOA,Glioma,High - Low,-0.044925106,0.82220899,0.869438465
ALG10,Glioma,High - Low,1.342416236,0.021280732,0.055339074
ALG10B,Glioma,High - Low,2.322983619,0.000311883,0.004386123
ALMS1,Glioma,High - Low,0.437839153,0.106360692,0.179363799
ANAPC16,Glioma,High - Low,0.765671478,0.008433192,0.029681662
ANAPC2,Glioma,High - Low,2.095544147,1.04E-07,8.24E-05
ANGPTL4,Glioma,High - Low,-0.340970152,0.660793767,0.741051203
ANKRD20A1,Glioma,High - Low,0.143002191,0.871746165,0.905854963
ANKRD30BL,Glioma,High - Low,0.327366195,0.553028135,0.646499765
ANKRD36B,Glioma,High - Low,0.097248625,0.532282301,0.627457655
ANKRD37,Glioma,High - Low,0.536130227,0.24483892,0.344033742
ANKRD50,Glioma,High - Low,1.490996,0.01052771,0.034399626
ANP32B,Glioma,High - Low,0.959795823,0.007687044,0.027833646
ANTKMT,Glioma,High - Low,0.093875027,0.755508183,0.817621424
ANXA8,Glioma,High - Low,0.260710277,0.604408778,0.691254601
AP1G2,Glioma,High - Low,1.277534284,0.028344051,0.067535698
APAF1,Glioma,High - Low,-0.058175793,0.908867762,0.933684237
APOBEC3F,Glioma,High - Low,-0.037595936,0.935367314,0.953649295
APOC2,Glioma,High - Low,0.794940828,0.373869331,0.478548357
AR,Glioma,High - Low,0.744271356,0.183294845,0.273490531
ARFGAP1,Glioma,High - Low,0.876926864,0.001569652,0.010426918
ARFGEF3,Glioma,High - Low,0.613729807,0.372740289,0.477523347
ARHGAP11B,Glioma,High - Low,0.31069807,0.467985512,0.567949166
ARHGAP18,Glioma,High - Low,0.862139512,0.088906344,0.156975115
ARHGAP23,Glioma,High - Low,0.852574891,0.247748312,0.347187055
ARHGDIG,Glioma,High - Low,0.61074747,0.44677873,0.54880138
ARL17B,Glioma,High - Low,0.621120924,0.029370444,0.069250355
ARMH1,Glioma,High - Low,-0.50099071,0.160623034,0.246603821
ARNT,Glioma,High - Low,1.456326522,0.002567821,0.014009884
ARPC5L,Glioma,High - Low,0.153687675,0.458493356,0.559360186
ARPIN,Glioma,High - Low,0.885156611,0.054701536,0.108434097
ARSL,Glioma,High - Low,0.187965982,0.69934028,0.772620394
ASDURF,Glioma,High - Low,1.139077624,0.015608136,0.044736718
ASNSD1,Glioma,High - Low,1.973015164,4.35E-05,0.001679895
ATF3,Glioma,High - Low,-0.567699182,0.344795448,0.449060658
ATL3,Glioma,High - Low,0.143698461,0.657690839,0.738330289
ATP1B2,Glioma,High - Low,1.320148228,0.039417834,0.085375963
ATP2A2,Glioma,High - Low,0.76028266,0.000718423,0.006753838
ATP5MF,Glioma,High - Low,0.877355817,0.000446393,0.005260683
ATRNL1,Glioma,High - Low,0.485056112,0.510967662,0.608467449
AUP1,Glioma,High - Low,0.854825002,0.010241125,0.033758069
AZGP1,Glioma,High - Low,0.423961106,0.63330003,0.717097405
B4GALT5,Glioma,High - Low,0.817975521,0.002971959,0.015271529
BAG3,Glioma,High - Low,-0.076472049,0.882130706,0.913311509
BAGE3,Glioma,High - Low,0.907710122,0.023505283,0.059160836
BAGE5,Glioma,High - Low,-0.135096911,0.748209279,0.811556962
BAHCC1,Glioma,High - Low,1.313887928,0.000233958,0.003777082
BASP1,Glioma,High - Low,-0.771742364,0.001249143,0.009219296
BCAR1,Glioma,High - Low,1.251784855,0.002845022,0.014918804
BCL11A,Glioma,High - Low,-0.196687812,0.730372667,0.797495566
BCL2,Glioma,High - Low,0.353467224,0.335628892,0.439838086
BEND3,Glioma,High - Low,-0.284828721,0.548559242,0.642258681
BEX1,Glioma,High - Low,1.626330371,0.048777966,0.099835847
BEX5,Glioma,High - Low,-1.965952309,0.007660294,0.027769148
BIN1,Glioma,High - Low,-0.224908945,0.536574416,0.631266855
BLOC1S1,Glioma,High - Low,0.773787326,0.003055447,0.015529876
BMP7,Glioma,High - Low,0.991358166,0.175893942,0.26495391
BMT2,Glioma,High - Low,1.178680404,0.001161145,0.008953702
BNIP3,Glioma,High - Low,0.119560648,0.692433998,0.766840917
BOC,Glioma,High - Low,1.078242785,0.05322728,0.106316519
BOP1,Glioma,High - Low,1.270674335,0.088659132,0.156655062
BRD2,Glioma,High - Low,0.91856106,3.11E-05,0.001447254
BRD3OS,Glioma,High - Low,1.338441785,0.003155608,0.015769611
BRICD5,Glioma,High - Low,0.46423045,0.266376599,0.367664855
BRIP1,Glioma,High - Low,0.680812618,0.147586797,0.230888332
BRMS1,Glioma,High - Low,1.001830945,0.010196353,0.033661333
BTBD9,Glioma,High - Low,1.858016972,5.99E-05,0.001954829
BTG1,Glioma,High - Low,1.083676628,0.03353006,0.07609795
BTG2,Glioma,High - Low,0.582645811,0.206655704,0.300763601
BTN3A3,Glioma,High - Low,1.188513249,0.07046546,0.131668941
C13orf46,Glioma,High - Low,0.421226181,0.409880626,0.513169433
C16orf72,Glioma,High - Low,1.051671466,3.30E-05,0.00148681
C17orf113,Glioma,High - Low,0.853720811,0.062421378,0.119783541
C1D,Glioma,High - Low,0.550662594,0.011455007,0.036235903
C1orf21,Glioma,High - Low,0.540489653,0.016146373,0.045735535
C1QL1,Glioma,High - Low,1.934974871,0.046659521,0.096648174
C1QL3,Glioma,High - Low,-1.093450104,0.031830554,0.073502195
C1QTNF4,Glioma,High - Low,-0.624071391,0.336609463,0.440798269
C1R,Glioma,High - Low,0.957569854,0.124957372,0.202734432
C2CD2,Glioma,High - Low,-0.194121125,0.716517931,0.786104346
C2CD3,Glioma,High - Low,1.081842184,0.062937856,0.120509704
C2orf72,Glioma,High - Low,0.410919009,0.532032306,0.627275911
C3orf18,Glioma,High - Low,0.856226796,0.049847789,0.101438779
C3orf70,Glioma,High - Low,0.137151172,0.849230456,0.889375649
C7orf61,Glioma,High - Low,1.090757678,0.037977108,0.08312247
C9orf85,Glioma,High - Low,0.852882498,0.227655971,0.324801093
CA11,Glioma,High - Low,-0.081072494,0.915206734,0.93886829
CA12,Glioma,High - Low,0.670921737,0.363210082,0.468061969
CABLES1,Glioma,High - Low,-0.310067986,0.53905173,0.63344142
CACYBP,Glioma,High - Low,0.18169795,0.292800797,0.395710243
CALML4,Glioma,High - Low,0.562767655,0.297225816,0.400450463
CANX,Glioma,High - Low,0.716588514,0.000484489,0.005490372
CAPG,Glioma,High - Low,-0.37385336,0.534832871,0.62950079
CAPRIN2,Glioma,High - Low,0.82327073,0.019715708,0.052381852
CAPS2,Glioma,High - Low,0.006046344,0.99066573,0.993168944
CARD16,Glioma,High - Low,0.109639421,0.881280517,0.912719966
CARHSP1,Glioma,High - Low,1.166165424,0.018459658,0.050154036
CARS1,Glioma,High - Low,1.845133895,0.001376988,0.009601901
CASTOR2,Glioma,High - Low,0.379720772,0.021233057,0.055263576
CBLN2,Glioma,High - Low,-0.480620365,0.533123266,0.628168445
CCDC142,Glioma,High - Low,1.25789303,0.03659719,0.081063613
CCDC163,Glioma,High - Low,0.330231243,0.484283305,0.583323028
CCDC188,Glioma,High - Low,1.001822112,0.132326438,0.212036477
CCDC50,Glioma,High - Low,0.98956939,0.002507113,0.013763367
CCDC51,Glioma,High - Low,-0.097084241,0.811089055,0.861443906
MIX23,Glioma,High - Low,1.560828963,0.000271603,0.004099969
CCDC6,Glioma,High - Low,0.292468283,0.085286722,0.152112662
CCDC85A,Glioma,High - Low,1.105441255,0.087038482,0.154479442
CCDC85B,Glioma,High - Low,0.930559893,0.032668585,0.074817175
