Gene,Subset,Contrast,log2FC,Pr(>|t|),FDR
GSG1L,Glioma,High - Low,0.998474046,0.151464393,0.235889532
ZFP57,Glioma,High - Low,-0.479572093,0.198198083,0.291276956
RNFT2,Glioma,High - Low,1.379129252,0.001142814,0.00888664
SYNPO,Glioma,High - Low,-0.899025623,0.10971967,0.183695058
ADAM10,Glioma,High - Low,0.475653388,0.173204258,0.2615644
PRH2,Glioma,High - Low,1.042818014,0.052038768,0.104548655
TMEM87A,Glioma,High - Low,1.104473131,0.003611014,0.017105284
EBF4,Glioma,High - Low,1.841143254,0.003172054,0.015815575
SLC35E2B,Glioma,High - Low,0.6280344,0.025752309,0.063055187
MECP2,Glioma,High - Low,0.580669479,0.004037739,0.018318129
NAA16,Glioma,High - Low,1.213550295,0.010232904,0.033739463
ADAR,Glioma,High - Low,0.657178134,0.003766216,0.017567177
NAV2,Glioma,High - Low,1.104620412,0.017643131,0.048478468
NHLH2,Glioma,High - Low,1.756504639,0.005001021,0.020919607
ARHGEF25,Glioma,High - Low,0.92643617,0.035748056,0.079681529
DDX54,Glioma,High - Low,1.15529054,0.001631542,0.010633726
STK32A,Glioma,High - Low,2.051262773,0.006592428,0.025127993
TASOR,Glioma,High - Low,1.444891785,5.74E-06,0.000660851
KCNC1,Glioma,High - Low,0.449668881,0.556555979,0.649232665
TSTD1,Glioma,High - Low,0.571531997,0.110446878,0.184666586
TEN1,Glioma,High - Low,1.360714667,0.001057459,0.008514953
TBC1D14,Glioma,High - Low,0.561147054,0.008738272,0.030420153
FER1L5,Glioma,High - Low,0.714909174,0.133660733,0.213729846
ZNF385B,Glioma,High - Low,-0.914559661,0.04200401,0.089389451
AMN1,Glioma,High - Low,0.47117971,0.158332215,0.244318261
LDB1,Glioma,High - Low,0.707357777,0.014302776,0.042072849
MDGA2,Glioma,High - Low,0.51300092,0.385001879,0.489851354
ARHGEF7,Glioma,High - Low,0.746658324,0.011489869,0.036327276
ZNF276,Glioma,High - Low,0.843917392,0.01393176,0.041268899
LIMA1,Glioma,High - Low,1.515644646,0.000901688,0.007746588
RNF180,Glioma,High - Low,1.475972639,0.004483832,0.019612694
ENTPD6,Glioma,High - Low,0.785311685,0.000291373,0.004207901
NGEF,Glioma,High - Low,-1.321770264,0.045894452,0.095456085
THUMPD3,Glioma,High - Low,1.347407502,0.007194556,0.026669965
LSM14A,Glioma,High - Low,0.994474343,0.031407932,0.072821684
SEZ6L2,Glioma,High - Low,1.216256036,0.092024093,0.160842538
C1QC,Glioma,High - Low,0.498762702,0.472846158,0.572284594
NCBP3,Glioma,High - Low,1.248412602,0.001888945,0.011611248
CHEK1,Glioma,High - Low,0.091881414,0.816273796,0.865443492
CTSC,Glioma,High - Low,0.869531799,0.35197894,0.456057423
AEBP2,Glioma,High - Low,0.610322898,5.36E-06,0.000660851
MTRF1L,Glioma,High - Low,0.846203424,0.054435743,0.108070839
CLCN7,Glioma,High - Low,0.897785138,0.014922341,0.043465676
C4orf47,Glioma,High - Low,-0.074502995,0.860577527,0.897384434
TENT2,Glioma,High - Low,0.670234081,0.000954462,0.008029437
DHX36,Glioma,High - Low,1.013278254,2.88E-05,0.001406181
ASPDH,Glioma,High - Low,1.06788224,0.019269109,0.05151939
SZRD1,Glioma,High - Low,0.702164488,0.042534082,0.090288381
MGAT1,Glioma,High - Low,0.078415426,0.82272328,0.869755019
JMJD7,Glioma,High - Low,0.421792889,0.030894871,0.071976254
PLA2G4B,Glioma,High - Low,1.225195053,0.016851646,0.047030932
PLAG1,Glioma,High - Low,0.551649349,0.342097822,0.446281044
FANCL,Glioma,High - Low,0.763133708,0.134738356,0.215085259
TMEM240,Glioma,High - Low,-0.178354439,0.52609073,0.621914149
ENG,Glioma,High - Low,0.293944112,0.509140241,0.606788019
ADCY8,Glioma,High - Low,0.410058446,0.46915344,0.56878917
KANSL3,Glioma,High - Low,0.384715145,0.321441945,0.426018766
WDR26,Glioma,High - Low,0.850971321,3.58E-05,0.001512467
ADCY9,Glioma,High - Low,1.615267315,0.002212324,0.01284086
ADCYAP1,Glioma,High - Low,-0.403318046,0.38302359,0.487691127
ADCYAP1R1,Glioma,High - Low,1.380190041,0.024432137,0.060746292
GLRA2,Glioma,High - Low,-0.292742179,0.573197015,0.663736492
ADD1,Glioma,High - Low,0.401299709,0.045668558,0.095107115
ADD3,Glioma,High - Low,0.290230638,0.454836996,0.556143145
PLIN2,Glioma,High - Low,-0.563718417,0.354572169,0.458691178
GALNT9,Glioma,High - Low,-0.80462445,0.280886879,0.383368279
DDX3Y,Glioma,High - Low,-0.037677176,0.96588651,0.97587407
PHKA1,Glioma,High - Low,1.212289877,0.062557629,0.119992241
ABCD3,Glioma,High - Low,0.618567904,0.037658075,0.082660092
TENM2,Glioma,High - Low,-0.384881857,0.437521539,0.540065005
MICAL3,Glioma,High - Low,0.646766929,0.2113852,0.30615779
ZBTB37,Glioma,High - Low,0.474856562,0.008910181,0.030846378
SLC50A1,Glioma,High - Low,0.313396894,0.27662714,0.378778408
NAPEPLD,Glioma,High - Low,0.953432197,0.055478601,0.109460717
BSCL2,Glioma,High - Low,0.703699574,0.136094535,0.216800796
ADK,Glioma,High - Low,1.586935913,0.007495475,0.027420581
ZBTB1,Glioma,High - Low,1.189610468,0.000368861,0.004747314
PARK7,Glioma,High - Low,0.639339064,0.000927411,0.007889927
ADSL,Glioma,High - Low,0.913249842,0.007100651,0.026434128
BCOR,Glioma,High - Low,0.633465934,0.171806989,0.259924926
ADM,Glioma,High - Low,-0.283234442,0.671761392,0.750022711
PABPC1L,Glioma,High - Low,1.661488322,0.002192303,0.012768605
SPNS2,Glioma,High - Low,0.561775555,0.264955101,0.366166048
ADPRH,Glioma,High - Low,0.533314219,0.119978389,0.196654613
CASK,Glioma,High - Low,1.81624028,0.006442452,0.024835804
SLC25A19,Glioma,High - Low,0.796863934,0.150991979,0.235349759
TNNT1,Glioma,High - Low,0.138785602,0.803453898,0.856019358
THTPA,Glioma,High - Low,0.859247872,0.00044238,0.005245999
AP1B1,Glioma,High - Low,0.439917574,0.057715686,0.112972264
CADM3,Glioma,High - Low,-0.263285257,0.635235893,0.718490604
MRO,Glioma,High - Low,0.005438556,0.990639458,0.993168944
PIGG,Glioma,High - Low,0.711886546,0.000434717,0.005188462
MYO7A,Glioma,High - Low,-0.575474968,0.153783239,0.2386354
CENPL,Glioma,High - Low,0.691360924,0.147498941,0.230839545
CFLAR,Glioma,High - Low,0.885326309,0.072722449,0.135076611
TMC6,Glioma,High - Low,0.355690136,0.482751671,0.581799304
PCID2,Glioma,High - Low,0.472068484,0.074802783,0.137955219
HMOX2,Glioma,High - Low,1.330146941,0.010773321,0.034861416
TET2,Glioma,High - Low,1.395401924,0.00018654,0.003359509
SMAD9,Glioma,High - Low,2.226934036,0.002409706,0.013402837
CACNA1A,Glioma,High - Low,0.682188428,0.382055051,0.486789293
AURKAIP1,Glioma,High - Low,0.734435977,0.02373788,0.059574481
GPBP1,Glioma,High - Low,1.182823227,0.000159129,0.003161565
SLC39A10,Glioma,High - Low,0.836267003,0.058824642,0.114782569
TMEM129,Glioma,High - Low,0.92027009,0.004744532,0.020342731
UBAP2L,Glioma,High - Low,0.870548077,3.42E-10,1.49E-06
MAD2L2,Glioma,High - Low,0.46051056,0.111227052,0.185657291
CDCA7L,Glioma,High - Low,1.507945427,0.032863042,0.075078662
CTNNA3,Glioma,High - Low,0.328887634,0.697282023,0.771008658
MYRF,Glioma,High - Low,-0.674753136,0.56131255,0.653704248
