Species,Abundance
Corynebacterium.kefirresidentii,2
Corynebacterium.matruchotii,2
Corynebacterium.propinquum,2
Bifidobacterium.longum,2
Corynebacterium.pseudodiphtheriticum,2
Corynebacterium.pyruviciproducens,2
Corynebacterium.riegelii,2
Corynebacterium.singulare,2
Corynebacterium.sp..ATCC.6931,2
Corynebacterium.sp..Z-1,2
Corynebacterium.tuberculostearicum,2
Corynebacterium.ureicelerivorans,2
Bifidobacterium.pseudolongum,2
Dietzia.kunjamensis,2
Dietzia.sp..oral.taxon.368,2
Gordonia.bronchialis,2
Mycobacteroides.chelonae,2
Mycolicibacterium.litorale,2
Mycolicibacterium.phocaicum,2
Mycolicibacterium.thermoresistibile,2
Rhodococcus.fascians,2
Gardnerella.leopoldii,2
Cutibacterium.granulosum,2
Cutibacterium.modestum,2
Eggerthella.lenta,2
Bacillus.spizizenii,2
Caldibacillus.thermoamylovorans,2
Heyndrickxia.coagulans,2
Peribacillus.psychrosaccharolyticus,2
Gardnerella.vaginalis,2
Gemella.sanguinis,2
Listeria.monocytogenes,2
Mammaliicoccus.lentus,2
Staphylococcus.aureus,2
Staphylococcus.capitis,2
Staphylococcus.cohnii,2
Staphylococcus.epidermidis,2
Actinomyces.oris,1
Granulicatella.adiacens,1
Candidatus.Planktophila.versatilis,1
Enterococcus.faecium,1
Lactobacillus.crispatus,1
Lactobacillus.johnsonii,1
Lactococcus.cremoris,1
Lactococcus.raffinolactis,1
Streptococcus.anginosus,1
Streptococcus.ilei,1
Streptococcus.infantis,1
Streptococcus.mitis,1
Streptococcus.oralis,1
Streptococcus.rubneri,1
Streptococcus.sp..LPB0220,1
Streptococcus.sp..Marseille-Q6470,1
Streptococcus.sp..oral.taxon.064,1
Faecalibacterium.prausnitzii,1
Blautia.wexlerae,1
Coprococcus.catus,1
Stomatobaculum.sp..F0698,1
Romboutsia.ilealis,1
Megasphaera.stantonii,1
Veillonella.nakazawae,1
Veillonella.parvula,1
Veillonella.rogosae,1
Veillonella.sp..S12025-13,1
Finegoldia.magna,1
Peptoniphilus.harei,1
Bacteroides.ovatus,1
Phocaeicola.vulgatus,1
Muribaculum.intestinale,1
Prevotella.histicola,1
Prevotella.jejuni,1
Prevotella.melaninogenica,1
Prevotella.nigrescens,1
Segatella.copri,1
Alistipes.finegoldii,1
Capnocytophaga.gingivalis,1
Epilithonimonas.vandammei,1
Campylobacter.concisus,1
LKT o  Candidatus.Minimicrobia.vallesae,1
Sphaerospermopsis.torques-reginae,1
Anabaena.sp..WA102,1
Fusobacterium.nucleatum,1
Kytococcus.sedentarius,1
Methylobacterium.sp..C1,1
Methylorubrum.sp..B1-46,1
Microvirga.ossetica,1
Bradyrhizobium.betae,1
Bradyrhizobium.sp..BTAi1,1
Bradyrhizobium.sp..CB1015,1
Bradyrhizobium.sp..sBnM-33,1
Sphingomonas.bisphenolicum,1
Sphingomonas.sp..AAP5,1
Sphingopyxis.sp..GC21,1
Burkholderia.anthina,1
Pandoraea.pnomenusa,1
Polynucleobacter.sp..HIN8,1
Microbacterium.aurum,1
Ralstonia.mannitolilytica,1
Schlegelella.aquatica,1
Neisseria.macacae,1
Neisseria.sicca,1
Neisseria.sp..Marseille-Q5346,1
Neisseria.sp..RH3002v2g,1
Neisseria.subflava,1
Schaalia.odontolytica,1
Leclercia.adecarboxylata,1
Pantoea.stewartii,1
Legionella.fallonii,1
Acinetobacter.baumannii,1
Acinetobacter.guillouiae,1
Acinetobacter.indicus,1
Acinetobacter.lwoffii,1
Acinetobacter.schindleri,1
Acinetobacter.soli,1
Acinetobacter.sp..TAC-1,1
Aggregatibacter.sp..2125159857,1
Haemophilus.parainfluenzae,1
Pseudomonas.aeruginosa,1
Pseudomonas.chengduensis,1
Pseudomonas.oleovorans,1
Pseudomonas.reinekei,1
Pseudomonas.sp..J380,1
Pseudomonas.sp..MYb193,1
Micrococcus.luteus,1
