Species,Abundance,filter_step
Lachnospira.eligens,2,After controls removal filter
Lactobacillus.gasseri,2,After controls removal filter
Lactobacillus.johnsonii,13,After controls removal filter
Lactococcus.raffinolactis,3,After controls removal filter
Leclercia.adecarboxylata,51,After controls removal filter
Ligilactobacillus.murinus,45,After controls removal filter
Limnohabitans.sp..103DPR2,12,After controls removal filter
Megasphaera.stantonii,3,After controls removal filter
Meiothermus.ruber,10,After controls removal filter
Micrococcus.sp..KBS0714,20,After controls removal filter
Moraxella.osloensis,5,After controls removal filter
Mycolicibacterium.fortuitum,4,After controls removal filter
Mycolicibacterium.litorale,6,After controls removal filter
Mycolicibacterium.thermoresistibile,2,After controls removal filter
Neisseria.sicca,9,After controls removal filter
Neisseria.sp..Marseille-Q5346,3,After controls removal filter
Neisseria.sp..RH3002v2g,1,After controls removal filter
Neisseria.subflava,15,After controls removal filter
Paracoccus.yeei,2,After controls removal filter
Peptoniphilus.harei,3,After controls removal filter
Peribacillus.psychrosaccharolyticus,8,After controls removal filter
Phascolarctobacterium.faecium,2,After controls removal filter
Phocaeicola.coprophilus,6,After controls removal filter
Prevotella.corporis,36,After controls removal filter
Prevotella.denticola,2,After controls removal filter
Prevotella.histicola,3,After controls removal filter
Prevotella.intermedia,26,After controls removal filter
Prevotella.jejuni,3,After controls removal filter
Prevotella.melaninogenica,30,After controls removal filter
Proteus.mirabilis,21,After controls removal filter
Pseudochrobactrum.algeriensis,4,After controls removal filter
Pseudomonas.fluorescens,21,After controls removal filter
Pseudomonas.fragi,6,After controls removal filter
Pseudomonas.sp..DY-1,6,After controls removal filter
Pseudoxanthomonas.mexicana,6,After controls removal filter
Ralstonia.pickettii,9,After controls removal filter
Rothia.mucilaginosa,7,After controls removal filter
Serratia.liquefaciens,30,After controls removal filter
Sphingobacterium.sp..UDSM-2020,2,After controls removal filter
Sphingomonas.koreensis,2,After controls removal filter
Sphingomonas.sp..AAP5,28,After controls removal filter
Staphylococcus.arlettae,8,After controls removal filter
Staphylococcus.epidermidis,57,After controls removal filter
Staphylococcus.equorum,6,After controls removal filter
Staphylococcus.nepalensis,8,After controls removal filter
Staphylococcus.saprophyticus,52,After controls removal filter
Stenotrophomonas.acidaminiphila,6,After controls removal filter
Streptococcus.gordonii,6,After controls removal filter
Streptococcus.koreensis,6,After controls removal filter
Streptococcus.mitis,25,After controls removal filter
Streptococcus.parapneumoniae,2,After controls removal filter
Streptococcus.sanguinis,5,After controls removal filter
Streptococcus.sp..oral.taxon.064,3,After controls removal filter
Streptococcus.thermophilus,615,After controls removal filter
Streptomyces.albus,2,After controls removal filter
Thermus.sp..NEB1569,6,After controls removal filter
Turicibacter.faecis,32,After controls removal filter
Veillonella.nakazawae,8,After controls removal filter
Veillonella.rogosae,157,After controls removal filter
Veillonella.sp..S12025-13,8,After controls removal filter
Acinetobacter.baumannii,30,After control and genome completion filter
Acinetobacter.indicus,20,After control and genome completion filter
Acinetobacter.nosocomialis,2,After control and genome completion filter
Acinetobacter.radioresistens,9,After control and genome completion filter
Actinomyces.pacaensis,2,After control and genome completion filter
Aeromonas.hydrophila,15,After control and genome completion filter
Bacteroides.caccae,2,After control and genome completion filter
Bacteroides.eggerthii,21,After control and genome completion filter
Bifidobacterium.catenulatum,16,After control and genome completion filter
Bifidobacterium.pseudolongum,2,After control and genome completion filter
Campylobacter.concisus,3,After control and genome completion filter
Candidatus.Methylopumilus.rimovensis,2,After control and genome completion filter
Capnocytophaga.sp..FDAARGOS 737,6,After control and genome completion filter
Clostridium.perfringens,2,After control and genome completion filter
Corynebacterium.aquatimens,6,After control and genome completion filter
Corynebacterium.glaucum,2,After control and genome completion filter
