feature	X1552	X13165	X9450	X6952	X9467	X16971	X1543	X17167	X8007	X6956	X2043	X1564	X1536	X6939	X1472	X1545	X9712	X17130	X8071	X8235	X6936	X1468	X1466	X15878	X8130	X16987	X1395	X2492	X8047	X2502	X8059	X1522	X8245	X15888	X17153	X8053	X8249	X9649	X7298	X9463	X8255	X2479	X4494	X7285	X19850	X6055	X9447	X17007	X5266	X1525	X2497	X5273	X5989	X6067	X9422	X19351	X9648	X1561	X6001	X9631	X17008	X9733	X2532	X7295	X9634	X19825	X9632	X7284
GBM-BM-392-Or	6135.81128279316	89.744478273504	0	3120.49029663496	3946.4199482458	117604.529747535	218.752165791666	0	16656.9491028885	1071.79212854763	1229.31238468393	0	0	83525.4663806448	0	0	48515.304051667	503.877851973111	12806.8175011236	65.9061012321045	11140.468204014	4633.52611002732	767.034837743854	66695.104770259	38634.0630584281	251.004087671206	0	0	7518.43715119433	29.914826091168	10806.2635062768	0	0	2524.0634514423	0	144633.50995922	1700.00347646216	112327.834876547	0	0	1480.78389151282	0	0	12212.7277517193	0	0	0	480.97431324706	0	0	0	0	0	33.1867601948895	970.829590489936	0	0	0	2042.15429987989	4064.67699513745	319.247284691683	0	1360.18974883279	457.603355363335	468.353995989849	0	0	2798.43849699723
01-2020-22-OR	25153.9352207627	3107.37174173665	4809.97242761282	106414.574610322	1000.81272943472	121563.967965671	14258.0557226609	3003.87235987727	44757.1483964016	61390.4312727269	4802.32351255623	6939.23915648898	3315.56564843301	10814.1317184346	0	19399.3217836619	81511.3803862582	6320.15509409683	36230.7593656718	0	12055.1681863651	547.375483736687	0	6896.45303789122	2368.7733815854	2791.85399565262	7398.89114567048	8992.49479199035	6496.31916899374	1392.34156889354	681.470525822399	5341.81105264082	0	486.662220475063	9772.92315635728	197.915677089073	1457.83540406553	0	1372.02413827449	0	9849.65133551863	2619.514378284	0	0	2740.70187621173	0	594.703145649291	844.009970774778	0	31359.5956176063	983.841699152927	2014.05494583639	0	0	3845.73107329238	4722.00990446212	0	13815.6137923567	1660.53165306496	0	638.923435820159	0	465.388675473943	32.7469175859939	0	0	0	0
GBM-BM-307-Or	11480.7588273199	87884.1669919445	248.125166729098	1336.34177333327	65568.3637919676	9351.44730749635	222.35549065931	0	20083.4129758742	0	2431.18486806968	0	0	27981.4505530345	2613.7814299356	3846.30822253058	12349.5650491014	0	0	18490.1107183022	738.485288514199	4790.95091960308	0	45758.1093824331	12947.4215339204	1638.21512157935	225.300596495857	1220.7463692488	255645.494482721	6069.12685266455	3597.44677934235	0	1147.85499979425	0	0	12939.3224928699	5354.93868730186	51733.7291247873	156.090609336999	95346.3289052958	544.844579761223	1102.20585932777	1512.31184706696	70295.2586596257	108.968915952245	83.1992398824571	0	0	0	0	1744.23893169505	0	91.2982809329618	0	1127.23925893842	0	0	0	1446.04696574465	669.275301355341	81.7266869641835	0	407.897158361781	0	0	371.819611864078	0	0
GBM-BM-308-OR	3272.54352962234	0	3909.94089682983	0	0	59085.4525897304	329.393270301856	0	0	80440.4033085209	74263.2100316913	0	55295.2910639194	15297.5368129797	1454.46379094326	0	28742.7712098464	0	0	91468.6611116142	0	500.506657471652	0	63876.6274304847	4581.56094147128	48266.8086859201	0	8405.9451447162	6955.75918845219	12474.1659246781	4350.55786879205	0	0	8495.77967298035	7661.6019105276	0	0	0	0	0	13244.1761669422	966.790637509345	0	0	744.34323418861	0	8003.82868486719	0	0	18903.7514475832	0	0	0	0	0	0	0	2793.42604554691	0	0	0	0	1304.73957716969	0	0	0	0	0
GBM-BM-318-Or	18282.8017303718	5627.61168659184	22780.9605373827	1128.87485866001	38503.1295878447	3799.33151355466	4025.91571457602	0	1514.41481294891	0	2848.48709855429	38193.8883951242	24135.8415761431	88515.8117541011	13119.3408433212	0	57277.8271219644	0	274.559937462112	149.707418531973	1536.37960794588	13808.3417811208	0	43503.01055426	16215.7989169728	328.893904033562	863.563255933464	8759.32903642284	4239.78345533598	2492.42621123501	0	14722.1928571789	2108.62031970902	7038.56075468661	0	4664.05081133007	3306.2796679648	62142.451192872	0	1630.01899714349	0	87.281159066903	0	152.019502215864	0	2366.41765046292	3890.0807981474	831.194084358984	0	6617.76152421836	6550.13307646454	0	0	0	4125.91333390433	2125.38292641723	0	4638.03986988629	3287.78299849367	140.459083796407	773.391992261697	8747.76861800338	1032.34536485754	1378.00187559932	3120.73495233251	1850.24496803415	0	0
GBM-BM-263-Or	29811.6619894784	387194.540739671	12472.710623036	0	47982.6733685935	9842.22168533463	13235.9782724562	0	28224.5238944394	40264.8253770313	2148.94239493411	18493.6803210373	19820.3901837634	131182.122982216	15091.7341668619	14883.7191636938	58296.6141162307	547.063079198164	0	109425.719146919	1845.92841394111	0	21782.6104498694	10543.2486251455	63511.7304161318	33971.9620528417	8261.63524393874	60499.6076537203	16293.9626103693	25816.7911806032	7716.21007815135	106.464371700242	427.495400211739	2021.18514889382	9503.17360930463	1947.47904540903	5704.85240972217	0	0	0	7766.98539388531	7698.19303063285	14393.9830538726	2501.09377825029	982.748046463768	0	24162.4986357225	0	0	21009.5153199846	1500.32868426802	1677.2233326315	2265.23424709898	0	0	974.558479409903	0	5812.95469483319	1100.67781203942	0	1750.92943611628	0	5739.2485913484	2170.23526927415	0	0	0	0
01-2020-10-OR	1538.94826252076	6919.3329335445	10286.0295181336	0	60568.8892010099	0	0	0	0	72200.0148868995	22233.6484199658	7200.22066269354	43438.6938881182	13708.1124155127	49669.6540769876	0	183649.144715877	0	0	764042.316441767	0	0	399497.517988712	0	34201.0481477943	0	211342.301110852	153012.601412636	0	21398.8975629172	2591.28820552982	0	371187.199822649	0	0	0	0	102353.906035828	0	0	3584.28567054964	11421.4489303276	0	1590.37841011143	0	0	0	0	0	6962.85075073661	2065.11823402529	0	0	0	0	0	26185.8574540486	1871.26613926046	0	0	0	0	8331.68390968824	0	0	0	0	0
GBM-BM-386-Or-PreOp	3727.67175215954	0	0	3729.60719959057	0	140948.9591646	0	9913.36174172439	18191.2704042303	0	5678.60276263557	0	54.1925280687784	1347.07141199535	0	0	3863.15307233149	0	22474.4155690948	6379.23473266763	2328.34325952644	2090.28322551002	0	24825.9841977936	24630.5040072598	1023.85169101371	0	0	5430.86549146401	0	9665.62447055283	0	3702.51093555618	0	0	44811.4143705867	17600.9589377668	0	7149.54281021669	1678.0329227011	2576.080530698	0	0	396621.564803372	1887.0612452521	0	0	0	0	0	0	0	0	1689.64560728727	0	0	0	0	0	2078.67054092386	0	0	238.060034016419	0	0	0	0	17291.2873488024
GBM-BM-322-Or	3548.42733067182	231448.692079515	92131.8127560083	0	895322.847518794	45514.2823983482	0	0	0	3834.84747395475	5070.69735145331	0	0	0	0	0	56080.0032394517	0	0	56392.9437663719	0	0	0	6921.82012933741	0	98915.7268904317	0	2625.5179800935	2821.76881900958	22521.109784802	0	0	305965.666023623	9510.20957233868	0	0	7834.12132646081	72533.2492480376	0	0	4402.38368379314	4052.31461978068	0	737.266665117165	0	0	14511.953926335	0	0	2020.85323316288	12994.987982281	0	0	0	13615.564959394	0	0	0	0	0	0	0	2662.64651718573	0	0	0	0	0
GBM-BM-452-Or-PreOp	15051.5318047551	55123.6748763948	143855.009596785	722.52754737945	58.5224804731018	47317.6763271364	1609.3682130103	8677.08316245414	3323.40163148211	32165.981046187	31289.2692714073	8579.17055089337	14076.9074184146	68641.2424333645	18992.7957781551	15599.617343032	113098.06981122	1006.13649121064	5394.19709437648	0	2776.44152552197	1000.50932962668	0	22881.164432666	6131.35526187421	56579.9842943216	778.799163218971	2132.69424031785	10069.2429383239	0	9131.75781843747	3312.14730831421	0	15666.0178497226	13753.9083434957	63924.5555936959	0	27.0103756029701	20741.7175984474	2644.76594445749	5719.44703392892	1608.24278069351	674.133957757462	18850.9913062395	3488.8401820503	0	7521.26417311038	13774.166125198	624.614935818683	8922.42740751445	431.040577330731	1401.16323440407	6017.68659787838	722.52754737945	0	514.322568773222	0	25515.8014862724	19142.4782762883	6751.46846842573	1948.12334036422	9525.65912931412	1178.32763567957	3864.7345758583	0	0	0	0
