Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
PIK3C2B,0.243251815,0.323381589,0.683259763,0.397993492,0.317627153,0.560710916,0.646607037,0.549653844,0.746827385,0.775775649,0.575110604,0.664147194,0.569126393,0.428379114,0.449729146,1,0.827115811,0.551612487,0.580042081,0.531038199,0.431631505,0.49952295,0.65179486
PIK3C3,0.47821768,0.419141087,0.214806629,0.499986677,0.49710262,1,0.439658304,0.556222575,0.554122986,0.604192906,0.747513126,0.456594493,0.515567881,0.275861525,0.235985352,0.708145685,0.453726349,0.346991567,0.399128138,0.48356686,0.597386656,0.329196605,0.744238354
PIK3CA,0.364361396,0.224652076,0.330099852,0.388729054,0.537027389,0.581209242,0.440325211,0.892652486,0.35272988,0.919673462,0.271128796,0.376288879,0.846608599,0.568162389,0.602297377,0.61507316,0.551284376,0.372624468,0.298133448,0.569637847,0.605051558,0.428127792,1
PIK3CB,0.784015143,0.506135728,0.803815586,0.625675756,0.323154996,0.915531474,0.658790744,0.599874608,0.775354491,0.894048059,0.473621279,0.75346643,0.582611621,0.615234637,0.793771791,1,0.641682962,0.425949372,0.441978238,0.501202098,0.677425247,0.801531718,0.795319319
PIK3CD,0.364336439,0.224406747,0.385756939,0.942873835,0.588016007,0.584243585,0.392461972,0.733014834,1,0.297413669,0.307366197,0.596044459,0.343132896,0.474354584,0.247200953,0.727014275,0.607738989,0.608422185,0.523678147,0.59315853,0.486864337,0.554616123,0.577556047
PIK3CG,0.624679151,0.309594957,0.261386264,1,0.383119305,0.746754284,0.540857847,0.576420767,0.465243471,0.24881167,0.329275593,0.251397505,0.438084353,0.447700161,0.551313825,0.372728754,0.285426552,0.802160926,0.444350298,0.55616238,0.612641994,0.60469009,0.758637249
PIK3R1,1,0.451191577,0.39391447,0.425047411,0.803364127,0.371927045,0.57655351,0.397361758,0.390554646,0.235191836,0.796164068,0.518359069,0.412777712,0.617133029,0.50177656,0.882318737,0.555231019,0.520688932,0.862988593,0.50691533,0.666120807,0.628412354,0.727839622
PIK3R2,0.627702496,0.325106553,0.567416652,0.719370547,0.501112109,0.464070941,0.436962946,0.584551986,0.714121658,0.307880149,1,0.452193672,0.58845192,0.868408703,0.731588006,0.909661425,0.800744163,0.615824149,0.508445268,0.6636541,0.635093796,0.60229512,0.523842576
PIK3R3,0.500000713,1,0.613264214,0.331578852,0.586208734,0.424173615,0.431870748,0.464568807,0.665287815,0.236150479,0.417816174,0.308397272,0.503561754,0.287992858,0.462850321,0.594063095,0.45499167,0.455298807,0.387396316,0.34376698,0.159523035,0.352072345,0.583174929
PIK3R4,0.509924958,0.479216778,0.361151756,0.5065597,0.278288575,0.825546074,0.278586436,1,0.690720363,0.462873613,0.368845218,0.724705089,0.545184177,0.522164177,0.538038577,0.872163503,0.411617979,0.598706735,0.641548911,0.402432518,0.875768342,0.669877763,0.858550052
