"","contrast","ratio","SE","df","null","z.ratio","p.value","fold_change","modelest_cpc_1","modelest_cpc_2","counts_1","propnz_1","ncells_1","counts_2","propnz_2","ncells_2","term","target","msg"
"358","16Spos_tumor / 16Sneg_tumor",1.20987951673787,0.592587517536597,Inf,1,0.388984216641022,0.697287822057665,1.20987951673787,0.033194843509154,0.0274364868980139,5,0.0588235294117647,68,219,0.0311023021802104,6559,"DE_tumor_bg","BAG1",NA
"359","16Spos_tumor / 16Sneg_tumor",0.968288648134678,0.605879410194362,Inf,1,-0.0515005884639071,0.958926632948993,0.968288648134678,0.0254697506606737,0.0263038823286207,3,0.0441176470588235,68,167,0.0233267266351578,6559,"DE_tumor_bg","BAG3",NA
"360","16Spos_tumor / 16Sneg_tumor",0.693682239641446,0.505811798886357,Inf,1,-0.501586239434356,0.615958600919007,0.693682239641446,0.0252112933186348,0.0363441528093124,2,0.0294117647058824,68,167,0.0240890379631041,6559,"DE_tumor_bg","BAG5",NA
"361","16Spos_tumor / 16Sneg_tumor",1.31096505072048,0.671587700118077,Inf,1,0.528540867663288,0.597123989877808,1.31096505072048,0.0261095672689851,0.0199162954455848,4,0.0588235294117647,68,170,0.0250038115566397,6559,"DE_tumor_bg","BAG6",NA
"362","16Spos_tumor / 16Sneg_tumor",0.992195564421265,0.520154084707918,Inf,1,-0.0149453818826113,0.988075754450952,0.992195564421265,0.0327444970156905,0.033002059462733,4,0.0588235294117647,68,221,0.0314072267113889,6559,"DE_tumor_bg","BAGE",NA
"363","16Spos_tumor / 16Sneg_tumor",1.10787392262025,0.662124300540515,Inf,1,0.171408449288465,0.863902611529576,1.10787392262025,0.0233145879673796,0.0210444415121152,3,0.0441176470588235,68,147,0.0216496417136759,6559,"DE_tumor_bg","BAIAP3",NA
"364","16Spos_tumor / 16Sneg_tumor",1.04301373126618,0.496002899121323,Inf,1,0.0885596356881716,0.929431888044718,1.04301373126618,0.0379492190655721,0.0363841989112675,5,0.0735294117647059,68,251,0.0355237078822991,6559,"DE_tumor_bg","BAK1",NA
"365","16Spos_tumor / 16Sneg_tumor",0.184595645517664,0.18590495754557,Inf,1,-1.67768793161059,0.0934080366410795,0.184595645517664,0.0460817151314732,0.249635981402734,1,0.0147058823529412,68,329,0.0468059155359049,6559,"DE_tumor_bg","BANF1",NA
"366","16Spos_tumor / 16Sneg_tumor",1.17953258184219,0.583264773571683,Inf,1,0.333917555465481,0.738441772053563,1.17953258184219,0.0349751203563316,0.0296516780415744,5,0.0588235294117647,68,222,0.0312547644457997,6559,"DE_tumor_bg","BAP1",NA
"367","16Spos_tumor / 16Sneg_tumor",0.512896119631468,0.370962838974197,Inf,1,-0.923142281131912,0.35593306313973,0.512896119631468,0.0339026641841276,0.0661004497528422,2,0.0294117647058824,68,227,0.0327793871016923,6559,"DE_tumor_bg","BARD1",NA
"368","16Spos_tumor / 16Sneg_tumor",1.03191270627287,0.440908715208127,Inf,1,0.0735222135921156,0.941390568018462,1.03191270627287,0.0462218136378768,0.0447923679560294,6,0.0735294117647059,68,305,0.0436042079585303,6559,"DE_tumor_bg","BASP1",NA
"369","16Spos_tumor / 16Sneg_tumor",1.43502527945699,0.885240371538732,Inf,1,0.585497436643814,0.558213289700686,1.43502527945699,0.0167490846983197,0.01167163041522,3,0.0441176470588235,68,122,0.0175331605427657,6559,"DE_tumor_bg","BATF",NA
"370","16Spos_tumor / 16Sneg_tumor",0.602260797396256,0.438367954701551,Inf,1,-0.696641241291639,0.486027339497262,0.602260797396256,0.0283859734910925,0.0471323612856973,2,0.0294117647058824,68,189,0.0269858210093002,6559,"DE_tumor_bg","BBS1",NA
"371","16Spos_tumor / 16Sneg_tumor",0.98607651016358,0.757567852422046,Inf,1,-0.0182506490646758,0.985438897241527,0.98607651016358,0.0175614916171111,0.0178094614729214,2,0.0294117647058824,68,114,0.0163134624180515,6559,"DE_tumor_bg","BBS9",NA
"372","16Spos_tumor / 16Sneg_tumor",1.06754812449405,0.131122794241952,Inf,1,0.53217138585439,0.59460729915696,1.06754812449405,0.782306282739183,0.732806573108774,95,0.676470588235294,68,4966,0.440311023021802,6559,"DE_tumor_bg","BCAN",NA
"373","16Spos_tumor / 16Sneg_tumor",1.45855975215779,0.461488847078594,Inf,1,1.19294890905737,0.232889382843194,1.45855975215779,0.0726290514902186,0.049795047054309,12,0.161764705882353,68,471,0.0647964628754383,6559,"DE_tumor_bg","BCAR1",NA
